Evidence_ID,Organisation_Key,Organisation,Item_ID,Evidence_Type,Producer,Outcome,Candidate_Sector,Confidence,Authority,Source,Evidence_Text,Evidence_URL
035ce787748e3f1a3d523729,banque alimentaire de strasbourg,Banque Alimentaire de Strasbourg,,manual_reference,manual_reference,NO_MATCH,,,,,,
99327b4a2d0f428c69696f12,banque alimentaire de strasbourg,Banque Alimentaire de Strasbourg,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
52a5efa0b4d410ebb41cbc18,banque alimentaire de strasbourg,Banque Alimentaire de Strasbourg,,structured_source,structured_source,NO_MATCH,,,,,,
1541ecb84a1b692683cded64,banque alimentaire de strasbourg,Banque Alimentaire de Strasbourg,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
1190c431173667c1046f326a,banque alimentaire de strasbourg,Banque Alimentaire de Strasbourg,,safe_name,safe_name,NO_MATCH,,,,,,
81535c23f37c4179749ebfba,banque alimentaire de strasbourg,Banque Alimentaire de Strasbourg,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
fd9b1fa60adc4931ee4f0d63,banque alimentaire de strasbourg,Banque Alimentaire de Strasbourg,,official_site,official_site,NO_MATCH,,,,,,
49e294cbe7b27a493e598a1e,banque alimentaire de strasbourg,Banque Alimentaire de Strasbourg,ITM-d739a58ce3618849,source_activity,source_activity,PRODUCED,Services aux entreprises,MEDIUM,,source_facts:Activity_Description,Banque Alimentaire,
3f2d68158590d26c2edb60ae,banque alimentaire de strasbourg,Banque Alimentaire de Strasbourg,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
745126049b5055d88e704a1b,banque alimentaire de strasbourg,Banque Alimentaire de Strasbourg,,llm_organisation,llm_organisation,BUDGET_BLOCKED,,,,,,
df2661225fb679cce5bca606,dipeeo,Dipeeo,,manual_reference,manual_reference,NO_MATCH,,,,,,
9f2d2af02bfd8c4c896dbf88,dipeeo,Dipeeo,,naf_precise_v2,naf_precise_v2,PRODUCED,Numérique / Technologie,HIGH,NAF,registre entreprise,Activity_Code=62.01Z; Company_ID=897692315,https://recherche-entreprises.api.gouv.fr/search?q=897692315
e0d221aa5a8c0af8104c267e,dipeeo,Dipeeo,,structured_source,structured_source,NO_MATCH,,,,,,
7b501f028a43dd45015b3d53,dipeeo,Dipeeo,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
09b8d1622b95e0edd1f63b03,dipeeo,Dipeeo,,safe_name,safe_name,NO_MATCH,,,,,,
508228e13e225c1063fb18a1,dipeeo,Dipeeo,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
8d7fb442846f03f7e039ba69,dipeeo,Dipeeo,,official_site,official_site,NO_MATCH,,,,,,
a8f90a272a2b46fc259aeeda,dipeeo,Dipeeo,ITM-b696d3d10d5e1dac,source_activity,source_activity,PRODUCED,Numérique / Technologie,MEDIUM,,source_facts:Activity_Description,entreprise française spécialisée dans l'accompagnement à la conformité RGPD et la fourniture de services de DPO externalisé,
5d685c5d9630a5b81e3efa44,dipeeo,Dipeeo,ITM-76191ed87a8abd0f,source_activity,source_activity,PRODUCED,Services aux entreprises,MEDIUM,,source_facts:Activity_Description,Dipeeo accompagne les organisations dans leur conformité au RGPD et propose des services de DPO externalisé.,
6807739d48be7934bb6706ce,dipeeo,Dipeeo,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
56bc358e6458fec86eaa5308,dipeeo,Dipeeo,,llm_organisation,llm_organisation,NOT_APPLICABLE,,,,,,
b1f19f6ec0adbd6061f88ab2,docurba,Docurba,,manual_reference,manual_reference,NO_MATCH,,,,,,
3072f3460770d945720efde9,docurba,Docurba,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
bcd6b75ed53f5c16117d99a8,docurba,Docurba,,structured_source,structured_source,NO_MATCH,,,,,,
61cc7a4aa65136d3222778cb,docurba,Docurba,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
b9f783e2ba6df449d57d1318,docurba,Docurba,,safe_name,safe_name,NO_MATCH,,,,,,
9584cc97584670c9754ba685,docurba,Docurba,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
25fb4d522f61b23166e79d0c,docurba,Docurba,,official_site,official_site,NO_MATCH,,,,,,
40f5e8671e04ab440a82ea12,docurba,Docurba,ITM-a879bcbdf559a5c8,source_activity,source_activity,PRODUCED,Numérique / Technologie,MEDIUM,,source_facts:Activity_Description,Docurba est un service numérique public destiné à faciliter le suivi et l’élaboration des documents d’urbanisme.,
59ae32324a79d3d3fdcd43b2,docurba,Docurba,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
bc28cafb53706e6db15b7a96,docurba,Docurba,,llm_organisation,llm_organisation,BUDGET_BLOCKED,,,,,,
ef5bf19327cecd7cece7a12a,docurba gouv,Docurba.gouv.fr,,manual_reference,manual_reference,NO_MATCH,,,,,,
2cbe3251f257917b78908b2f,docurba gouv,Docurba.gouv.fr,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
5d831710b5064564481ef4a5,docurba gouv,Docurba.gouv.fr,,structured_source,structured_source,NO_MATCH,,,,,,
e1b6036a6e58b1586ed463e2,docurba gouv,Docurba.gouv.fr,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
689e7704bf351bd0f03342d1,docurba gouv,Docurba.gouv.fr,,safe_name,safe_name,NO_MATCH,,,,,,
16dec13d36d9e5811bcf249e,docurba gouv,Docurba.gouv.fr,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
f94f03db417418dd56368d08,docurba gouv,Docurba.gouv.fr,,official_site,official_site,NO_MATCH,,,,,,
a6fad853a7e692745a7d2de3,docurba gouv,Docurba.gouv.fr,,source_activity,source_activity,NO_MATCH,,,,,,
e5b18a861bbf8d9457da4f0f,docurba gouv,Docurba.gouv.fr,,domain_page,domain_page,ERROR,,,,,,
fe78aa002a66c0ce8f2d0480,docurba gouv,Docurba.gouv.fr,,llm_organisation,llm_organisation,BUDGET_BLOCKED,,,,,,
ff0c78a5b970b2787fc9d90d,emil frey france,Emil Frey France,,manual_reference,manual_reference,NO_MATCH,,,,,,
d65f431f2c1d9a4d4408db9e,emil frey france,Emil Frey France,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
7067d22663212bd8c180a2ce,emil frey france,Emil Frey France,,structured_source,structured_source,NO_MATCH,,,,,,
c21250c7f1043d249c6b14d2,emil frey france,Emil Frey France,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
7bd00f7ae085e4721d125e19,emil frey france,Emil Frey France,,safe_name,safe_name,NO_MATCH,,,,,,
4e73b34d684f3ee13677de8b,emil frey france,Emil Frey France,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
f1a732c2c2e7db52c0f263a9,emil frey france,Emil Frey France,,official_site,official_site,NO_MATCH,,,,,,
c15abf838996118e703cd5cb,emil frey france,Emil Frey France,ITM-e5f950b0daeb841d,source_activity,source_activity,PRODUCED,Commerce / Distribution,MEDIUM,,source_facts:Activity_Description,Emil Frey France est spécialisé dans la distribution de véhicules.,
4bf0f8d94c0a8aaf2f078fcc,emil frey france,Emil Frey France,ITM-7a1a656c8b1768b4,source_activity,source_activity,PRODUCED,Commerce / Distribution,MEDIUM,,source_facts:Activity_Description,distribution automobile,
4097768279c4aeac5aa69dbb,emil frey france,Emil Frey France,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
45b00a1670a280626b2da4a8,emil frey france,Emil Frey France,,llm_organisation,llm_organisation,BUDGET_BLOCKED,,,,,,
de0101664192ba738f62e491,groupe bernard,Groupe Bernard,,manual_reference,manual_reference,NO_MATCH,,,,,,
fb75d7b5cad4d6832273c10d,groupe bernard,Groupe Bernard,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
09da1717031808ab637c1d4b,groupe bernard,Groupe Bernard,,structured_source,structured_source,NO_MATCH,,,,,,
063c78b07bc201e375a7361c,groupe bernard,Groupe Bernard,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
6787889eed2010acf21ca028,groupe bernard,Groupe Bernard,,safe_name,safe_name,NO_MATCH,,,,,,
c67ff5f8c6063826500e497c,groupe bernard,Groupe Bernard,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
63aa056196e96142e0512092,groupe bernard,Groupe Bernard,,official_site,official_site,NO_MATCH,,,,,,
e4b51575a70f901e54ceda9d,groupe bernard,Groupe Bernard,ITM-3c23b8cb2c009f41,source_activity,source_activity,PRODUCED,Agriculture / Agroalimentaire,MEDIUM,,source_facts:Activity_Description,spécialisé dans la distribution et la maintenance de matériel agricole,
b6c039afce9453c29690be52,groupe bernard,Groupe Bernard,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
69b30e2cd05e5efcb358aa6a,groupe bernard,Groupe Bernard,,llm_organisation,llm_organisation,PRODUCED,Agriculture / Agroalimentaire,0.85,,llm:gpt-5-nano,Preuve d'activité décrite explicitement: distribution et maintenance de matériel agricole,
756176bd95cc3917f2200c2b,klark ai,Klark AI,,manual_reference,manual_reference,NO_MATCH,,,,,,
1f3b9fbeda447e6125066ba4,klark ai,Klark AI,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
741d993576af47ba7d317712,klark ai,Klark AI,,structured_source,structured_source,NO_MATCH,,,,,,
7f734ecc3c0481ef540509c6,klark ai,Klark AI,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
df19eeb50094864c5b04a163,klark ai,Klark AI,,safe_name,safe_name,NO_MATCH,,,,,,
3000dcf435f96b12e9294b2e,klark ai,Klark AI,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
3c5a3f841f87bf7f35445675,klark ai,Klark AI,,official_site,official_site,NO_MATCH,,,,,,
7a8306e653d6335dad5123c9,klark ai,Klark AI,ITM-7ce1a51b9f4ae12c,source_activity,source_activity,PRODUCED,Numérique / Technologie,MEDIUM,,source_facts:Activity_Description,Klark.ai développe une plateforme d’intelligence artificielle destinée aux équipes de relation client.,
551d916d82fecdc6d1c0066e,klark ai,Klark AI,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
4fa6655de69e8de0fa875a3e,klark ai,Klark AI,,llm_organisation,llm_organisation,PRODUCED,Numérique / Technologie,0.85,,llm:gpt-5-nano,Description d'activité fournie par la source: plateforme IA pour relation client,
a332b00bf4e44545e2840b0d,l commerce,L.Commerce,,manual_reference,manual_reference,NO_MATCH,,,,,,
d659c25b5511503d448807a6,l commerce,L.Commerce,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
799052d5e6529927724662b1,l commerce,L.Commerce,,structured_source,structured_source,NO_MATCH,,,,,,
8612e9101c6dbabd394ae9bd,l commerce,L.Commerce,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
d5e56421d2d78d66a2a20155,l commerce,L.Commerce,,safe_name,safe_name,NO_MATCH,,,,,,
7610d93d301bd4ad2bbbc774,l commerce,L.Commerce,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
d65ef574c268bf9e9bc58acb,l commerce,L.Commerce,,official_site,official_site,NO_MATCH,,,,,,
fdb5423ac6dc511fbc14ac26,l commerce,L.Commerce,,source_activity,source_activity,NO_MATCH,,,,,,
50de058e26dd2964172151e2,l commerce,L.Commerce,,domain_page,domain_page,ERROR,,,,,,
5186bdb007105d1512eace9d,l commerce,L.Commerce,,llm_organisation,llm_organisation,BUDGET_BLOCKED,,,,,,
f1957bdde0ae328d758cdb40,telecoop,TeleCoop,,manual_reference,manual_reference,NO_MATCH,,,,,,
d07afd40ff780394c14e792d,telecoop,TeleCoop,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
df53bb056abc7a9ab366146b,telecoop,TeleCoop,,structured_source,structured_source,NO_MATCH,,,,,,
d35ee58db4185a59fa91e23d,telecoop,TeleCoop,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
cc54ed373e7321f29ce6439b,telecoop,TeleCoop,,safe_name,safe_name,NO_MATCH,,,,,,
5359a231aec24ada124c83a2,telecoop,TeleCoop,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
15eb159d5163a8a43354b025,telecoop,TeleCoop,,official_site,official_site,NO_MATCH,,,,,,
f55bbb11df4b92fb3e43a12b,telecoop,TeleCoop,ITM-321d95275c4cd90e,source_activity,source_activity,PRODUCED,Numérique / Technologie,MEDIUM,,source_facts:Activity_Description,opérateur télécom,
e2d610e77865832b942d81d4,telecoop,TeleCoop,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
4663d44a02f6ef155c644b72,telecoop,TeleCoop,,llm_organisation,llm_organisation,PRODUCED,Numérique / Technologie,0.85,,llm:gpt-5-nano,Opérateur télécom indiqué dans l'évidence,
cbce7223909aac1c96d0a36f,timetonic,TimeTonic,,manual_reference,manual_reference,NO_MATCH,,,,,,
b8255e977822be3a54d9d3cc,timetonic,TimeTonic,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
5daa5615e999cda3ad10fbc9,timetonic,TimeTonic,,structured_source,structured_source,NO_MATCH,,,,,,
33d25329dd9045f1a9695be1,timetonic,TimeTonic,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
fb01d72df5fd55c2ddfb295d,timetonic,TimeTonic,,safe_name,safe_name,NO_MATCH,,,,,,
569bd4e59a0892eefb53729b,timetonic,TimeTonic,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
5af3f193f9e41a736c077246,timetonic,TimeTonic,,official_site,official_site,NO_MATCH,,,,,,
6cc403f9b3446d26948180b4,timetonic,TimeTonic,ITM-0b9b9760f81af7c2,source_activity,source_activity,PRODUCED,Numérique / Technologie,MEDIUM,,source_facts:Activity_Description,éditeur de logiciels de gestion No-Code,
bf4c939ac6860748f0f148c4,timetonic,TimeTonic,ITM-9d9815a5f2d59dfb,source_activity,source_activity,PRODUCED,Numérique / Technologie,MEDIUM,,source_facts:Activity_Description,éditeur français d'une plateforme No-Code de gestion et d'automatisation des processus métier,
1ada6b9119b87cb5749f869e,timetonic,TimeTonic,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
8346acca0a4b920a39a2659f,timetonic,TimeTonic,,llm_organisation,llm_organisation,PRODUCED,Numérique / Technologie,0.85,,llm:gpt-5-nano,Éditeur de logiciels No-Code et plateforme de gestion,
6ae89ab359374ab9c5e46cc0,wesh bien,Wesh bien,,manual_reference,manual_reference,NO_MATCH,,,,,,
0dbc7d6f51744c970b4c1157,wesh bien,Wesh bien,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
0efb4448ff2feb0bd852a27e,wesh bien,Wesh bien,,structured_source,structured_source,NO_MATCH,,,,,,
fe7071a336af352255757c01,wesh bien,Wesh bien,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
ecd47e92491ae62d1e82a44c,wesh bien,Wesh bien,,safe_name,safe_name,NO_MATCH,,,,,,
6aaa8bcc7cacbb266b731da4,wesh bien,Wesh bien,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
bb20b963aed0b8def369a3af,wesh bien,Wesh bien,,official_site,official_site,NO_MATCH,,,,,,
cc9f20e0e9f5efc837f80e3d,wesh bien,Wesh bien,,source_activity,source_activity,NO_MATCH,,,,,,
f0d3836a72d0c32ac1b47688,wesh bien,Wesh bien,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
f08488080c25c1b1f4aa9bb5,wesh bien,Wesh bien,,llm_organisation,llm_organisation,BUDGET_BLOCKED,,,,,,
3bc92f06f483c50b76c7e0a8,weshbien,WeshBien,,manual_reference,manual_reference,NO_MATCH,,,,,,
8efc4dded216493458842a77,weshbien,WeshBien,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
9b1c37bfaeaefbd96e24ff86,weshbien,WeshBien,,structured_source,structured_source,NO_MATCH,,,,,,
bc1d47e0396f8e4233bc88c5,weshbien,WeshBien,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
a351b3a7a1afc085a56d957e,weshbien,WeshBien,,safe_name,safe_name,NO_MATCH,,,,,,
97943a69033b5b770cd677d9,weshbien,WeshBien,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
39bfbdc3aeadf54ab5c077a0,weshbien,WeshBien,,official_site,official_site,NO_MATCH,,,,,,
9d7ed97c65a7997af3b60bab,weshbien,WeshBien,ITM-731896c31bc56f98,source_activity,source_activity,PRODUCED,Numérique / Technologie,MEDIUM,,source_facts:Activity_Description,réseau social de rencontre et d'échange destiné aux adolescents,
227532585b5f41ee4b735963,weshbien,WeshBien,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
25044e0311b34d884a6701cc,weshbien,WeshBien,,llm_organisation,llm_organisation,PRODUCED,Numérique / Technologie,0.90,,llm:gpt-5-nano,"Activité décrite explicitement comme réseau social destiné aux adolescents (source_activity), ce qui correspond au secteur Numérique / Technologie.",
624547f3e6c27565dccc7848,youfid,YouFid,,manual_reference,manual_reference,NO_MATCH,,,,,,
a699af53c42629e53be0cee4,youfid,YouFid,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
2d06949b2fb0e2ce1617714a,youfid,YouFid,,structured_source,structured_source,NO_MATCH,,,,,,
1006e859710eb783b17a0581,youfid,YouFid,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
d50ae538d03ca7a611658a1b,youfid,YouFid,,safe_name,safe_name,NO_MATCH,,,,,,
a477c2181ee6d470696488a1,youfid,YouFid,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
533d57d8576b813a067ee0f1,youfid,YouFid,,official_site,official_site,NO_MATCH,,,,,,
dc6b4abd14dc2a27a19e18b9,youfid,YouFid,ITM-a924baa376351e74,source_activity,source_activity,PRODUCED,Commerce / Distribution,MEDIUM,,source_facts:Activity_Description,plateforme de fidélisation de clients utilisée par des restaurants et commerces,
226e299b2e831ed2c5e6946a,youfid,YouFid,ITM-a1f1a90db06b0211,source_activity,source_activity,PRODUCED,Commerce / Distribution,MEDIUM,,source_facts:Activity_Description,service français de fidélité dématérialisée utilisé par des commerces et restaurants,
00a85e8325348bc29e545ef5,youfid,YouFid,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
ec518cd047fac2984c6cc306,youfid,YouFid,,llm_organisation,llm_organisation,PRODUCED,Commerce / Distribution,0.90,,llm:gpt-5-nano,"Plateforme de fidélisation utilisée par des restaurants et commerces (source_activity), ce qui correspond au secteur Commerce / Distribution.",
