Risk_Type,Reason_Code,Days_Apart,Shared_Company_ID,Left_Item_ID,Left_Source_ID,Left_Source_Item_ID,Left_Date,Left_Organisation,Left_Organisation_Key,Left_Company_ID,Left_Title,Left_URL,Right_Item_ID,Right_Source_ID,Right_Source_Item_ID,Right_Date,Right_Organisation,Right_Organisation_Key,Right_Company_ID,Right_Title,Right_URL
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,2,,ITM-0d0fd64f9195ae13,RANSOMWARE_LIVE,,2026-03-27,Scalian,scalian,,Scalian revendiqué par anubis,http://om6q4a6cyipxvt7ioudxt24cw4oqu4yodmqzl25mqd2hgllymrgu4aqd.onion/r/uzNTItpu+oRiQuAFxkyYYSxw7R4pZSQsS8nKWjIMmjOBSaaEfW6UoeDSX2aZnMkSuyNmBz7O6fX9LRW6ymxgkpIb01LM1VX,ITM-1239e1e69a0e1f6c,CYBERATTAQUE_ORG,131,2026-03-29,Scalian,scalian,,Scalian : des données sensibles d’employés fuitent après une cyberattaque,https://www.cyberattaque.org/scalian-des-donnees-sensibles-demployes-fuitent-apres-une-cyberattaque/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-fc5c215dc379733c,BONJOURLAFUITE,,2026-03-30,Belambra,belambra,,Belambra,https://bonjourlafuite.eu.org/img/belambra.png,ITM-149382450d886235,CYBERATTAQUE_ORG,143,2026-03-30,Belambra,belambra,,Belambra : les coordonnées clients exposées après une cyberattaque,https://www.cyberattaque.org/belambra-les-coordonnees-clients-exposees-apres-une-cyberattaque/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-0e7bb6157c9bc155,CYBERATTAQUE_ORG,141,2026-03-30,Iliad,iliad,,Iliad (Free) : nouvelle cyberattaque avec des données réseau en fuite,https://www.cyberattaque.org/iliad-free-nouvelle-cyberattaque-avec-des-donnees-reseau-en-fuite/,ITM-95f5692ecababc20,RANSOMWARE_LIVE,,2026-03-30,iliad,iliad,,iliad revendiqué par ALP-001,http://b4riuxx7ypobdptctf6lyfcvgi6vn74iurzdh4kn2agbk7472dvywgyd.onion#iliad.fr
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-76d52fcd842492d5,BONJOURLAFUITE,,2026-03-30,Le Petit Vapoteur,le petit vapoteur,539694364,Le Petit Vapoteur,https://bonjourlafuite.eu.org/img/petit-vapoteur-1.png,ITM-9523cb31d2dd33d8,CYBERATTAQUE_ORG,135,2026-03-30,Le Petit Vapoteur,le petit vapoteur,539694364,"Le Petit Vapoteur : 3,3 millions de clients exposés",https://www.cyberattaque.org/le-petit-vapoteur-33-millions-de-clients-exposes/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-3dabd6bdfdecb4e2,BONJOURLAFUITE,,2026-03-31,Homair,homair,340061530,Homair,https://bonjourlafuite.eu.org/img/homair.png,ITM-92a96f0fdce3b161,CYBERATTAQUE_ORG,160,2026-03-31,Homair,homair,340061530,Homair : les données clients exposées après une cyberattaque,https://www.cyberattaque.org/homair-les-donnees-clients-exposees-apres-une-cyberattaque/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-c9fed154f8e2461f,BONJOURLAFUITE,,2026-03-31,Vaucluse Provence Attractivité,vaucluse provence attractivite,,Vaucluse Provence Attractivité,https://bonjourlafuite.eu.org/img/vaucluse-provence-attractivite.png,ITM-1e43c437c74b3c6c,CYBERATTAQUE_ORG,162,2026-03-31,Vaucluse Provence Attractivité,vaucluse provence attractivite,,Vaucluse Provence Attractivité : des clients ciblés après une cyberattaque,https://www.cyberattaque.org/vaucluse-provence-attractivite-des-clients-cibles-apres-une-cyberattaque/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-e8a9ff7d0295734a,BONJOURLAFUITE,,2026-04-01,Force Ouvrière,force ouvriere,,Force Ouvrière,https://bonjourlafuite.eu.org/img/fo.png,ITM-23c3e5e8d480aef2,CYBERATTAQUE_ORG,174,2026-04-01,Force Ouvrière,force ouvriere,,Force Ouvrière (FO) : plus de 160 000 profils exposés dans une fuite de données,https://www.cyberattaque.org/fo-plus-de-160-000-profils-exposes-dans-une-fuite-de-donnees/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-45b5bba10a7796b4,CYBERATTAQUE_ORG,172,2026-04-01,Notre-Dame du Grandchamp,notre dame du grandchamp,,Notre-Dame du Grandchamp : des milliers d’élèves exposés après une cyberattaque,https://www.cyberattaque.org/notre-dame-du-grandchamp-des-milliers-deleves-exposes-apres-une-cyberattaque/,ITM-1d7c7ad9592b5ba2,RANSOMWARE_LIVE,,2026-04-01,Notre Dame du Grandchamp,notre dame du grandchamp,,Notre Dame du Grandchamp revendiqué par nightspire,https://www.nd-grandchamp.fr
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-ca7f0a3243815e6c,BONJOURLAFUITE,,2026-04-02,Gold Union,gold union,393472766,Gold Union,https://bonjourlafuite.eu.org/img/gold-union.png,ITM-d90ed50c38bf2e83,CYBERATTAQUE_ORG,198,2026-04-02,Gold Union,gold union,393472766,Gold Union : plus de 120 000 acheteurs d’or exposés avec pièces d’identité et transactions,https://www.cyberattaque.org/gold-union-fuite-critique-avec-documents-didentite-et-donnees-bancaires-exposes/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-bf749ed5ff0d8336,CYBERATTAQUE_ORG,204,2026-04-02,Serap,serap,,Serap : ransomware avec 50 Go de données menacés,https://www.cyberattaque.org/serap-ransomware-avec-50-go-de-donnees-menaces/,ITM-9cfb605da9a64bbe,RANSOMWARE_LIVE,,2026-04-02,Serap,serap,,Serap revendiqué par akira,https://groupeserap.com
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-ceb889fb3480c817,BONJOURLAFUITE,,2026-04-02,Under Armour,under armour,492198460,Under Armour,https://bonjourlafuite.eu.org/img/under-armour.png,ITM-2d70763cbfb162a1,CYBERATTAQUE_ORG,210,2026-04-02,Under Armour,under armour,492198460,Under Armour : la marque avertit ses clients français après la fuite de 72 millions de comptes,https://www.cyberattaque.org/under-armour-marque-avertit-clients-francais-fuite-72-millions-comptes/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-39b6b41eeb5dc3bb,BONJOURLAFUITE,,2026-04-04,Fédération Française de Rugby,federation francaise de rugby,,Fédération Française de Rugby,https://bonjourlafuite.eu.org/img/ffr.png,ITM-6b6b114355b4e382,CYBERATTAQUE_ORG,265,2026-04-04,Fédération Française de Rugby,federation francaise de rugby,,Fédération Française de Rugby : réaction de la FFR à la fuite de ses 500 000 licenciés,https://www.cyberattaque.org/federation-francaise-de-rugby-plus-de-500-000-licencies-exposes/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-9d9d1376f1b77c8f,BONJOURLAFUITE,,2026-04-06,AlumnForce,alumnforce,,AlumnForce,https://www.cyberattaque.org/alumnforce-2-7-millions-etudiants-exposes/,ITM-539e9416bad4a918,CYBERATTAQUE_ORG,305,2026-04-06,AlumnForce,alumnforce,,"AlumnForce : 2,7 millions d’étudiants et diplômés exposés",https://www.cyberattaque.org/alumnforce-2-7-millions-etudiants-exposes/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-628755b3a7846d5c,CYBERATTAQUE_ORG,332,2026-04-06,Gauthier Connectique,gauthier connectique,,Gauthier Connectique (nicomatic) : 42 Go de données sensibles menacés après une cyberattaque,https://www.cyberattaque.org/gauthier-connectique-nicomatic-42-go-de-donnees-sensibles-menaces-apres-une-cyberattaque/,ITM-d28051fafeac1245,RANSOMWARE_LIVE,,2026-04-06,Gauthier Connectique,gauthier connectique,,Gauthier Connectique revendiqué par akira,https://gauthierconnectique.com
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-3421f9f17f7348e3,BONJOURLAFUITE,,2026-04-06,Ymed,ymed,843016023,Ymed,https://bonjourlafuite.eu.org/img/ymed.png,ITM-cfef6105a170d038,CYBERATTAQUE_ORG,302,2026-04-06,YMED,ymed,843016023,"YMED (SOONCARE) : 253 000 patients exposés, 132 Go de données médicales exfiltrés",https://www.cyberattaque.org/ymed-sooncare-253-000-patients-exposes-132-go-de-donnees-medicales-exfiltres/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-ce24145b3039bbc0,BONJOURLAFUITE,,2026-04-07,KFC,kfc,,KFC,https://bonjourlafuite.eu.org/img/kfc.png,ITM-82ce5dcedf7e0911,CYBERATTAQUE_ORG,348,2026-04-07,KFC,kfc,,KFC : fuite de données sur le programme fidélité Colonel Club,https://www.cyberattaque.org/kfc-fuite-de-donnees-sur-le-programme-fidelite-colonel-club/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-1a9b3e882ac9ef7a,CYBERATTAQUE_ORG,387,2026-04-08,Diamond,diamond,,Diamond : les documents OneDrive et SharePoint divulgués par le groupe Gunra,https://www.cyberattaque.org/diamond-les-documents-onedrive-et-sharepoint-divulgues-par-le-groupe-gunra/,ITM-b3f2d99e99e17110,RANSOMWARE_LIVE,,2026-04-08,Diamond,diamond,,Diamond revendiqué par gunra,http://lgiil72vkmdtbc3qv4tyq6wedyjxqr2qd4ze7xl2cxgerdnymxj7soqd.onion/company/PEB8x_juWat7MUfka-l93
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-0724785a877742c0,BONJOURLAFUITE,,2026-04-12,Booking,booking,315667170,Booking,https://bonjourlafuite.eu.org/img/booking.png,ITM-cf71d3eb1d53642b,CYBERATTAQUE_ORG,484,2026-04-12,Booking.com,booking,315667170,Booking.com : les données de réservation de ses clients exposées,https://www.cyberattaque.org/booking-com-les-donnees-de-reservation-de-ses-clients-exposees/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-cccbb065e9daf7f6,BONJOURLAFUITE,,2026-04-13,Basic Fit,basic fit,,Basic Fit,https://bonjourlafuite.eu.org/img/basic-fit.png,ITM-4879fc78a32b9a32,CYBERATTAQUE_ORG,492,2026-04-13,Basic-Fit,basic fit,,"Basic-Fit : 1 million de clients touchés, des coordonnées bancaires exposées après une cyberattaque",https://www.cyberattaque.org/basic-fit-1-million-de-clients-touches-des-coordonnees-bancaires-exposees-apres-une-cyberattaque/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-737920915fbb19df,RANSOMWARE_LIVE,,2026-04-13,CNAOC,cnaoc,,CNAOC revendiqué par lamashtu,http://lamashtux5j74mcm7lwwgn5yrvuwtrpxjoyendif3v3hrztjesfoyayd.onion/post/9ca4f70dcc71e29f98249373bebb5ed0,ITM-ad8244a335639038,CYBERATTAQUE_ORG,530,2026-04-14,CNAOC,cnaoc,,CNAOC : 30 ans d’archives internes et données sensibles exposées après une cyberattaque,https://www.cyberattaque.org/cnaoc-30-ans-darchives-internes-et-donnees-sensibles-exposees-apres-une-cyberattaque/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-32adc4810c1b28f3,BONJOURLAFUITE,,2026-04-13,ImmoJeune,immojeune,,ImmoJeune,https://bonjourlafuite.eu.org/img/immojeune.png,ITM-f33a350a786d3337,CYBERATTAQUE_ORG,504,2026-04-14,ImmoJeune,immojeune,,ImmoJeune : fuite de données confirmée après un accès frauduleux,https://www.cyberattaque.org/immojeune-fuite-de-donnees-confirmee-apres-un-acces-frauduleux/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,2,,ITM-ff2cc39a37c3f651,CYBERATTAQUE_ORG,542,2026-04-15,Brit Hotel,brit hotel,,Brit Hotel : 682 000 membres du programme fidélité dans une fuite de données,https://www.cyberattaque.org/brit-hotel-682-000-membres-du-programme-fidelite-dans-une-fuite-de-donnees/,ITM-00e3e6e37ab04d64,BONJOURLAFUITE,,2026-04-17,Brit Hotel,brit hotel,,Brit Hotel,https://bonjourlafuite.eu.org/img/brit-hotel.png
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-b96135c6ec8d1130,BONJOURLAFUITE,,2026-04-15,France Titre / ANTS,france titre ants,,France Titre / ANTS,https://bonjourlafuite.eu.org/img/france-titre.png,ITM-b5fdd2d18d6b6f52,CYBERATTAQUE_ORG,577,2026-04-16,France titre ANTS,france titre ants,,France titre ANTS : une fuite touche près de 12 millions de Français,https://www.cyberattaque.org/cyberattaque-ants-france-titre-18-millions-de-profils-francais-mis-en-vente/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-b049b9a40149154f,CYBERATTAQUE_ORG,549,2026-04-15,Police nationale,police nationale,,"Police nationale : cyberattaque contre la plateforme e-campus, 176k agents touchés",https://www.cyberattaque.org/police-nationale-cyberattaque-contre-la-plateforme-e-campus/,ITM-166bd5cffe402fcb,BONJOURLAFUITE,,2026-04-16,Police Nationale,police nationale,,Police Nationale,https://bonjourlafuite.eu.org/img/police-nationale.jpg
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-e9d1640a653adff2,BONJOURLAFUITE,,2026-04-17,Bazar du Manga,bazar du manga,897430427,Bazar du Manga,https://bonjourlafuite.eu.org/img/bazar-manga.png,ITM-10bc2de399feb216,CYBERATTAQUE_ORG,590,2026-04-17,Bazar du Manga,bazar du manga,897430427,Bazar du Manga : fuite de données confirmée après les démarchage des clients,https://www.cyberattaque.org/bazar-du-manga-fuite-de-donnees-confirmee-apres-les-demarchage-des-clients/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_ALIAS,1,,ITM-8daad3dbf9019014,BONJOURLAFUITE,,2026-04-17,Jeu Jouet,jeujouet,,Jeu Jouet,https://bonjourlafuite.eu.org/img/jeu-jouet.png,ITM-213f922056c63ae5,CYBERATTAQUE_ORG,628,2026-04-18,JeuJouet.com,jeujouet,,JeuJouet.com : alerte ses clients après une cyberattaque sur son e-commerce,https://www.cyberattaque.org/jeujouet-com-alerte-ses-clients-apres-une-cyberattaque-sur-son-e-commerce/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-4f1645b29b463600,BONJOURLAFUITE,,2026-04-17,Moulin Roty,moulin roty,320722143,Moulin Roty,https://bonjourlafuite.eu.org/img/moulin-roty.png,ITM-bb0576894f6aa30f,CYBERATTAQUE_ORG,625,2026-04-18,Moulin Roty,moulin roty,320722143,Moulin Roty : les données clients exposés après cyberattaque,https://www.cyberattaque.org/moulin-roty-les-donnees-clients-exposes-apres-cyberattaque/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-8f3a0130248034f0,RANSOMWARE_LIVE,,2026-04-20,Engie,engie,,Engie revendiqué par coinbasecartel,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/engie,ITM-d2d1dcd7fa40be8e,CYBERATTAQUE_ORG,679,2026-04-21,Engie,engie,,Engie : une cyberattaque revendiquée par un groupe ransomware,https://www.cyberattaque.org/engie-une-cyberattaque-revendiquee-par-un-groupe-ransomware/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-005a36176dc24a3a,CYBERATTAQUE_ORG,675,2026-04-20,Gueguen Avocats,gueguen avocats,,Gueguen Avocats : une fuite de données revendiquée avec des milliers de documents exposés,https://www.cyberattaque.org/gueguen-avocats-une-fuite-de-donnees-revendiquee-avec-des-milliers-de-documents-exposes/,ITM-337671434c9f4562,RANSOMWARE_LIVE,,2026-04-20,GUEGUEN Avocats,gueguen avocats,,GUEGUEN Avocats revendiqué par qilin,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=bfe4f5a0-89c7-4751-bce6-b2fb8a332f39
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-b0891a9a217dbaa8,CYBERATTAQUE_ORG,688,2026-04-21,Sterimed,sterimed,,Sterimed : des fichiers internes publiés après une cyberattaque,https://www.cyberattaque.org/sterimed-des-fichiers-internes-publies-apres-une-cyberattaque/,ITM-2c5f5d803c594745,RANSOMWARE_LIVE,,2026-04-21,STERIMED,sterimed,,STERIMED revendiqué par qilin,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=afa2db4c-b35b-40aa-9812-82a35ab9c6bf
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-731439817b4fe753,BONJOURLAFUITE,,2026-04-22,Rituals,rituals,,Rituals,https://bonjourlafuite.eu.org/img/rituals.png,ITM-6261906376079f45,CYBERATTAQUE_ORG,698,2026-04-22,Rituals,rituals,,Rituals : les données personnelles des clients en fuite après une cyberattaque,https://www.cyberattaque.org/rituals-les-donnees-personnelles-des-clients-en-fuite-apres-une-cyberattaque/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-0301e932a02d3c7b,BONJOURLAFUITE,,2026-04-22,Wazari,wazari,,Wazari,https://bonjourlafuite.eu.org/img/wazari.png,ITM-6cd906cccf4e1d39,CYBERATTAQUE_ORG,718,2026-04-23,Wazari,wazari,,Wazari: les données clients en fuite après la cyberattaque d’Assuréa,https://www.cyberattaque.org/wazari-les-donnees-clients-en-fuite-apres-la-cyberattaque-dassurea/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-a19c3225b871ccd1,BONJOURLAFUITE,,2026-04-23,Parcoursup,parcoursup,130024805,Parcoursup,https://www.enseignementsup-recherche.gouv.fr/fr/incident-de-securite-affectant-les-donnees-de-certains-candidats-des-sessions-parcoursup-2023-et-101350,ITM-4541376470a8e8fa,CYBERATTAQUE_ORG,728,2026-04-23,Parcoursup,parcoursup,130024805,Parcoursup : fuite de données de 705 000 candidats après un accès frauduleux en Occitanie,https://www.cyberattaque.org/parcoursup-fuite-de-donnees-de-705-000-candidats-apres-un-acces-frauduleux-en-occitanie/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,3,,ITM-2896155f813de93a,CYBERATTAQUE_ORG,750,2026-04-24,Agence de services et de paiement,agence de services et de paiement,130006372,"Agence de services et de paiement (ASP): fuite de données sensibles, NIR et IBAN exposés",https://www.cyberattaque.org/agence-de-services-et-de-paiement-asp-fuite-de-donnees-sensibles-nir-et-iban-exposes/,ITM-884675afe5968ccc,BONJOURLAFUITE,,2026-04-27,Agence de Services et de Paiement,agence de services et de paiement,130006372,Agence de Services et de Paiement,https://bonjourlafuite.eu.org/img/asp.png
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-c389af547863c329,CYBERATTAQUE_ORG,756,2026-04-24,STOR Solutions,stor solutions,,STOR Solutions : un hacker revendique l’accès à 120 000 onduleurs et aux systèmes du datacenter,https://www.cyberattaque.org/stor-solutions-datacenter-cyberattaque-canal-alpha/,ITM-2db30989bdd24f2f,VEILLE_LLM,,2026-04-24,STOR Solutions,stor solutions,,STOR Solutions : Intrusion,https://github.com/Ya7o/Cyberwatch/blob/main/sources/veillellm/cyberattaques_reunion_mayotte_2026.json
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-9ad83ebdae6c5575,CYBERATTAQUE_ORG,846,2026-04-27,Exclusive Networks,exclusive networks,,Exclusive Networks : cyberattaque chez un acteur clé des solutions de cybersécurité,https://www.cyberattaque.org/exclusive-networks-cyberattaque-chez-un-acteur-cle-des-solutions-de-cybersecurite/,ITM-6a8c316d3b798998,RANSOMWARE_LIVE,,2026-04-27,Exclusive Networks,exclusive networks,,Exclusive Networks revendiqué par qilin,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=00bee91c-d577-4927-8a0f-b8a6ea4b6d37
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-8817ff72468c8bb3,BONJOURLAFUITE,,2026-04-28,Acrimed,acrimed,,Acrimed,https://bonjourlafuite.eu.org/img/acrimed.png,ITM-f5edd42642e73433,CYBERATTAQUE_ORG,873,2026-04-29,Acrimed,acrimed,,Acrimed : la boutique en ligne victime d’une cyberattaque,https://www.cyberattaque.org/acrimed-la-boutique-en-ligne-victime-dune-cyberattaque/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-a777e7f2bc1409da,BONJOURLAFUITE,,2026-04-30,Ankama,ankama,,Ankama,https://bonjourlafuite.eu.org/img/ankama.png,ITM-c5b1a45c1f6d719b,CYBERATTAQUE_ORG,907,2026-04-30,Ankama,ankama,,Ankama : les coordonnées de ses clients exposées après une cyberattaque,https://www.cyberattaque.org/ankama-les-coordonnees-de-ses-clients-exposees-apres-une-cyberattaque/
