Pair_Key,Left_Item_ID,Right_Item_ID,Input_Hash,Model,Prompt_Version,Same_Organisation,Same_Incident,Confidence,Evidence,Reason,Matched_Facts_JSON,Conflicting_Facts_JSON,Input_Tokens,Cached_Input_Tokens,Output_Tokens,Total_Tokens,Estimated_Cost_USD
ITM-09aba9c6a6aba1bd|ITM-b2df95e1f1121284,ITM-09aba9c6a6aba1bd,ITM-b2df95e1f1121284,db62c5dbaa659c2ac47434295cbfc2694b7ba181c89ac511b66c96bcf6f66aab,gpt-4o-mini,2026-08-28.1,UNKNOWN,UNKNOWN,0.5000,Various informal naming conventions raise uncertainties in a definitive claim for an exact concurrence.,Ambiguous identity and event linking provide insufficient clarity for decision.,[],[],,,,,
ITM-09b7785d306f1eb7|ITM-32aa8cf11229b9b4,ITM-09b7785d306f1eb7,ITM-32aa8cf11229b9b4,178925fde663050df9505a743f6bc9f7c0bbd36bb658ef5504d1dfb2bd339e80,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.8500,"Even though reported under a common entity, distinctions in details solidify their independent incidents notion.",Diversity in context of data expressed reconciles the individual nature of declared incidents.,"[""Organisation_Raw: Comptoir de Location"", ""Date: 2026-08-26""]","[""Affected counts are close but not identical"", ""Specific terms employed vary""]",,,,,
ITM-0b9b9760f81af7c2|ITM-9d9815a5f2d59dfb,ITM-0b9b9760f81af7c2,ITM-9d9815a5f2d59dfb,1e5c0c9a6fc989474372288c0fd791c584a2c648cde462b6aacd94cdce75c2fd,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.7000,Diversity in affected details confirms it’s a probable dual occurrences declaration.,Federal differences encourage strong recognition of their unique further implications.,"[""Organisation_Raw: TimeTonic"", ""Date: 2026-08-25""]","[""Variable affected counts illustrate potential for unknown additional data exposure."", ""Different specifics on the files raise doubts.""]",,,,,
ITM-1219cba905b728f5|ITM-2dabd2e0f9227fb6,ITM-2dabd2e0f9227fb6,ITM-1219cba905b728f5,2d9b507e5230dc9b51051bf955e3a3f291e9394813718d2029b1451ebb0423b9,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.8000,"Différents nombres de données affectées, contexte similaire, organisation identique.",Indiquent deux incidents distincts.,"[""Organisation_Raw : Minea"", ""Date : 2026-08-28""]","[""Affected_Count : 81600000 vs 81000000""]",,,,,
ITM-129989f0c862b9cd|ITM-75d5a18e7852e12d,ITM-75d5a18e7852e12d,ITM-129989f0c862b9cd,138defe3e9ce57f209798858212d969ada31f6a620213cf356dc006af7410f77,gpt-4o-mini,2026-08-28.1,UNKNOWN,UNKNOWN,0.5000,Peu d'informations sur les incidents pour établir une comparaison claire.,Incertitude sur l'identité et la nature des événements.,[],[],,,,,
ITM-129989f0c862b9cd|ITM-ac58cd9639615c55,ITM-ac58cd9639615c55,ITM-129989f0c862b9cd,f56c556fb9fb27c76c763f6500236efde274c4a402d784bb47b67e928fbddb3b,gpt-4o-mini,2026-08-28.1,UNKNOWN,UNKNOWN,0.5000,Manque de détails pour confirmer si les événements sont liés.,Double incertitude sur l'identité.,[],[],,,,,
ITM-138924ed9143382e|ITM-9371d05789705127,ITM-138924ed9143382e,ITM-9371d05789705127,aa2f7d19b01eb5094da199725d610b9a51558f084007f195ff24794a189db055,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.7000,Corresponding mentions in varying claims suggest insistence on different incidents despite organisation linkage.,Different aspects of reported incidents make chances of repetition slighter.,"[""Organisation_Raw: Son-Video.com"", ""Date: 2026-08-12""]","[""Nature of claims between the reports, differing in evidence types cited"", ""General usage of threat actors shown vary greatly.""]",,,,,
ITM-16b6aa02661200f5|ITM-5a921aaebb3181e9,ITM-16b6aa02661200f5,ITM-5a921aaebb3181e9,cbc6260b5dabad604e3895b0cbe955900704c50e274f027c67e49fc2450875d2,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.8500,"Contrasting details heighten differences among event log declarations, implying distinct incident aims",Diverse details provide evidence for separate entities recorded under an equivalent name.,"[""Organisation_Raw: Éducation Nationale"", ""Date: 2026-08-18""]","[""Significant contrast presents on respective data counts cited."", ""Varied claims clarify diverse impacts on advisories.""]",,,,,
ITM-200c6238d27fcc07|ITM-f38727a182bac79c,ITM-200c6238d27fcc07,ITM-f38727a182bac79c,87b51992d2b92f2f35e07bcf153822ac4e62c7421e64066536ae8c6812859fa3,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.7500,Similar amount of claimed exposure highlight differences on their outlining presentations.,Reflections of divergence amidst the incident reporting clarify varying outlines.,"[""Organisation_Raw: Experts Entreprendre"", ""Date: 2026-08-20""]","[""Data volume interpretations question absolute figures establishing reports."", ""Varying nature of exposure contextualizes impact points toward dissimilar angles.""]",,,,,
ITM-206f73f9e8b77bb9|ITM-486f08701ff57650,ITM-206f73f9e8b77bb9,ITM-486f08701ff57650,bf5f04dc1a0920e411eedafaa772c8237a448f9a8f218beec53da1cfd21fb3f2,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.8000,"While instances highlight same organisation’s connections, the complexity reaches into necessary clarification on incidents.",Disparity in cases contributes to need for separation despite common framework.,"[""Organisation_Raw: Foodtrack"", ""Date: 2026-08-18""]","[""Claim status potential ambiguity gathers complexity among unrelated descriptions."", ""Diverging numeric details exhibit uncertainty in identity mirrored.""]",,,,,
ITM-22ef53a08389c1e5|ITM-c291c1191dea09f8,ITM-22ef53a08389c1e5,ITM-c291c1191dea09f8,c17eb7100f366543a68dcf0f61a2550e8c44e51ea8ca6824d0561d03a855a4f4,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.7000,Two variations highlighted amid similar orchestras preserve room for distinct definitions.,Reporting issues assure distinct narrative variations amid same entity log lines.,"[""Organisation_Raw: Protection Civile"", ""Date: 2026-08-21""]","[""Disparities between reported figures raise questions on accuracy scaffolding reports."", ""Claim status contrast conveys potential for abusive error inclusion.""]",,,,,
ITM-2d8408666ad4a2ab|ITM-6e2c2cd9e5c3ed70,ITM-2d8408666ad4a2ab,ITM-6e2c2cd9e5c3ed70,4e3c855921c80e56fe6571070cc93f85bebe797645ecbbc3e8c222725e743a8c,gpt-4o-mini,2026-08-28.1,UNKNOWN,UNKNOWN,0.5000,Détails manquants pour évaluer s'il s'agit du même événement ou de différents.,Pas suffisamment de données pour trancher.,[],[],,,,,
ITM-2dabd2e0f9227fb6|ITM-ae43ef50305a9615,ITM-2dabd2e0f9227fb6,ITM-ae43ef50305a9615,3bd75d7f5403bea2c2f233ad1006d456ce0258ba9f0939019a3d6fd1471a4922,gpt-4o-mini,2026-08-28.1,DIFFERENT,UNKNOWN,0.0000,"Les événements concernent deux organisations différentes avec des dates d'occurrence proches, mais aucune preuve ne les lie comme un même incident.",Les deux organisations (Minea et CGT Éduc’Action) sont distinctes.,"[""Organisation_Key: minea vs cgt educ action"", ""Date: 2026-08-28 vs 2026-08-31"", ""Threat: Fuite de données""]",[],,,,,
ITM-389a991087b537a5|ITM-548df1d58425f71a,ITM-548df1d58425f71a,ITM-389a991087b537a5,ad28e0ce06ad70d1ac18217d23970b83c9a291bc65b9209480e9ca2213c166a3,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.8500,Impact similaire mais incidents distincts.,Deux fuites de données séparées.,"[""Organisation_Raw : Ultra Premium Direct"", ""Date : 2026-08-28""]",[],,,,,
ITM-4cc8816fbf2bf2c7|ITM-df47b6d6c045ee30,ITM-4cc8816fbf2bf2c7,ITM-df47b6d6c045ee30,442592fa95f528df14fcd62d752c11679ed795fd35fdb62715362faa36fd2ec1,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.7000,Variations in affected count and claim status disagree despite sharing the exact date and organisation.,Different details surrounding the incident suggest they relate to distinct events.,"[""Organisation_Raw: Actis Location"", ""Date: 2026-08-28"", ""Data_Volume_Raw: 464 Go""]","[""Affected_Count: 666155 vs 666000"", ""Claim_Status: confirmed vs claimed""]",,,,,
ITM-608546810aba3569|ITM-d776be6f7bde12f9,ITM-d776be6f7bde12f9,ITM-608546810aba3569,d152f26544ee3e623883200e35536ce2eb20d9c274fac824a029ebe97cd444c6,gpt-4o-mini,2026-08-28.1,UNKNOWN,UNKNOWN,0.5000,L'absence de détails clairs ne permet pas de relier ces incidents.,Difficulté à trancher sur leur nature.,[],[],,,,,
ITM-776a3c8116ba0604|ITM-ec6ad7ad1bc83e4d,ITM-ec6ad7ad1bc83e4d,ITM-776a3c8116ba0604,3ded2fa25b0af7150f175dc8f63fe942484a430b3e8e3904d3522eabfeca89ee,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.7500,Different focuses in data types imply distinct events despite the same date.,Descriptions enhance understanding that these are likely different incidents.,"[""Organisation_Raw: Frères Toque"", ""Date: 2026-08-29"", ""Claim_Status: confirmed""]","[""Summary differs in terms of data exposure specifics"", ""Various data types affected not clearly stated as identical""]",,,,,
ITM-c4c6d095612ff2f2|ITM-fdbdd6afa926ce98,ITM-c4c6d095612ff2f2,ITM-fdbdd6afa926ce98,1f76a62b00ef7386a9768bd85185772d7275370c3e5d8ec9d8441ed3aa7793a9,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.8500,Les incidents impliquent les mêmes types de données mais sont signalés comme distincts,Insuffisance de détails pour les fusionner.,"[""Organisation_Raw : Easypara"", ""Date : 2026-08-29""]",[],,,,,
