date,organisation,territoire,localisation,secteur,type_menace,acteur,statut,score_cyberattaque,impact_connu,source_urls,synthese,evolution,sector_evidence_url,sector_evidence_text,sector_evidence_source,sector_evidence_type
2026-08-10,Groupe Cloué,Inconnu,Non documenté publiquement,Numérique / Technologie,Autre cyber,Inconnu,Revendiqué / non corroboré,65,"La série de fuites liée à la compromission revendiquée de BlgCloud continue. Après Agri62 et Duvignau40, les cybercriminels…",https://www.cyberattaque.org/groupe-cloue-67-go-de-donnees-et-plus-de-9-000-fichiers-publies-apres-une-cyberattaque/,"Rattrapage 2026 Cyberattaque.org — Groupe Cloué : 6,7 Go de données et plus de 9 000 fichiers publiés après une cyberattaque",nouveau,,,,
2026-08-10,Gagny,France,France,Éducation / Formation,Intrusion,Inconnu,Confirmé,100,La Ville de Gagny confirme avoir subi une cyberattaque ayant affecté une partie de son système d’information. Les…,https://www.cyberattaque.org/cyberattaque-a-gagny-la-ville-confirme-un-acces-non-autorise-a-des-donnees-personnelles/,Rattrapage 2026 Cyberattaque.org — Cyberattaque à Gagny : la Ville confirme un accès non autorisé à des données personnelles,nouveau,,,,
2026-08-10,FFHandball,France,France,Sport,Fuite de données,Inconnu,Revendiqué / non corroboré,65,Une importante fuite de données est revendiquée contre la Fédération Française de Handball (FFHandball) ce 10 août 2026….,https://www.cyberattaque.org/ffhandball-136-million-de-donnees-de-licencies-en-fuite-apres-une-cyberattaque/,"Rattrapage 2026 Cyberattaque.org — FFHandball : 1,36 million de données de licenciés en fuite après une cyberattaque",nouveau,,,,
2026-08-09,"Roussel Agri62 ouvre la série de fuites BlgCloud avec 9,33 Go de données exposées",Inconnu,Non documenté publiquement,Numérique / Technologie,Fuite de données,Inconnu,Revendiqué / non corroboré,65,La compromission massive revendiquée de BlgCloud commence à avoir des conséquences concrètes pour ses clients. Le 8 août…,https://www.cyberattaque.org/roussel-agri62-ouvre-la-serie-de-fuites-blgcloud-avec-933-go-de-donnees-exposees/,"Rattrapage 2026 Cyberattaque.org — Roussel Agri62 ouvre la série de fuites BlgCloud avec 9,33 Go de données exposées",nouveau,,,,
2026-08-09,Le Mans FC,France,France,Sport,Fuite de données,Inconnu,Revendiqué / non corroboré,65,"Une fuite de données revendiquée le 8 août 2026 vise MUC72.fr, l’ancien domaine associé au club aujourd’hui connu…",https://www.cyberattaque.org/le-mans-fc-une-base-de-2-481-enregistrements-diffusee-apres-une-fuite-de-donnees/,Rattrapage 2026 Cyberattaque.org — Le Mans FC : une base de 2 481 enregistrements diffusée après une fuite de données,nouveau,,,,
2026-08-09,Impact Centre Chrétien frappé par Qilin,France,France,Inconnu,Ransomware,Qilin,Revendiqué / non corroboré,65,"Le groupe de ransomware Qilin revendique une cyberattaque contre Impact Centre Chrétien (ICC). Le 8 août 2026, l’organisation…",https://www.cyberattaque.org/impact-centre-chretien-frappe-par-qilin-passeports-permis-et-titres-de-sejour-deja-exposes/,"Rattrapage 2026 Cyberattaque.org — Impact Centre Chrétien frappé par Qilin : passeports, permis et titres de séjour déjà exposés",nouveau,,,,
2026-08-09,Duvignau40,Inconnu,Non documenté publiquement,Numérique / Technologie,Autre cyber,ChimeraZ,Revendiqué / non corroboré,65,"La série de fuites liée à la compromission revendiquée de BlgCloud se poursuit. Après Agri62, ChimeraZ publient désormais…",https://www.cyberattaque.org/blgcloud-duvignau40-les-donnees-crm-des-e-mails-et-des-documents-diffuses/,"Rattrapage 2026 Cyberattaque.org — Duvignau40 : les données CRM, des e-mails et des documents diffusés",nouveau,,,,
2026-08-09,CLCV,États-Unis,États-Unis,Inconnu,Fuite de données,Inconnu,Revendiqué / non corroboré,65,"Une importante fuite de données est revendiquée contre la CLCV, association nationale de consommateurs et usagers. Le 8…",https://www.cyberattaque.org/cyberattaque-association-nationale-de-consommateurs-et-usagers/,Rattrapage 2026 Cyberattaque.org — CLCV : 80 031 dossiers de consommateurs revendiqués avec leurs litiges et coordonnées,nouveau,,,,
2026-08-09,Bureau Vallée,France,France,Commerce / Distribution,Fuite de données,ZeroBytes,Revendiqué / non corroboré,65,Bureau Vallée fait l’objet d’une revendication de fuite de données publiée le 9 août 2026. L’acteur ZeroBytes affirme…,https://www.cyberattaque.org/bureau-vallee-55-949-fiches-clients-en-fuite-apres-une-cyberattaque-avortee/,Rattrapage 2026 Cyberattaque.org — Bureau Vallée : 55 949 fiches clients en fuite après une cyberattaque avortée,nouveau,,,,
2026-08-09,BlgCloud,France,France,Numérique / Technologie,Autre cyber,Inconnu,Revendiqué / non corroboré,65,"Une revendication de compromission touche BlgCloud, éditeur français d’un ERP SaaS utilisé par des professionnels du machinisme agricole,…",https://www.cyberattaque.org/blgcloud-les-donnees-de-159-entreprises-pirate-des-millions-de-documents-en-fuite/,"Rattrapage 2026 Cyberattaque.org — BlgCloud : les données de 159 entreprises revendiquées, des milliers de documents en fuite",nouveau,,,,
2026-08-08,Reflet 2000,France,Île-de-France,Finance / Assurance,Ransomware,KRYBit,Revendiqué / non corroboré,65,"Reflet 2000 est victime d’une attaque par ransomware revendiquée par le groupe KRYBit. Cette fois, il ne s’agit…",https://www.cyberattaque.org/reflet-2000-pres-de-23-go-de-donnees-rh-paie-et-contrats-diffuses-apres-une-cyberattaque/,"Rattrapage 2026 Cyberattaque.org — Reflet 2000 : près de 23 Go de données RH, paie et contrats diffusés après une cyberattaque",nouveau,,,,
2026-08-08,Mutuelle Générale de Prévoyance,France,France,Finance / Assurance,Fuite de données,Inconnu,Signal documenté par la source,60,"Une revendication de fuite massive vise la Mutuelle Générale de Prévoyance (MGP). Le 7 août 2026, un acteur…",https://www.cyberattaque.org/mutuelle-generale-de-prevoyance-133-018-iban-et-pres-de-200-000-identites-dans-une-fuite-massive/,Rattrapage 2026 Cyberattaque.org — Mutuelle Générale de Prévoyance : 133 018 IBAN et près de 200 000 identités dans une fuite massive,nouveau,,,,
2026-08-07,Petit Gramme,France,France,Commerce / Distribution,Fuite de données,Inconnu,Signal documenté par la source,60,La boutique française Petit Gramme fait l’objet d’une revendication de fuite de données publiée le 7 août 2026….,https://www.cyberattaque.org/petit-gramme-204-854-fiches-clients-en-fuite-apres-une-cyberattaque/,Rattrapage 2026 Cyberattaque.org — Petit Gramme : 204 854 fiches clients en fuite après une cyberattaque,nouveau,,,,
2026-08-07,AFPA,France,France,Éducation / Formation,Intrusion,Cybernox,Signal documenté par la source,60,Une plateforme liée à l’Afpa fait l’objet d’une revendication de compromission publiée le 7 août 2026. L’acteur Cybernox…,https://www.cyberattaque.org/afpa-pirate-101-comptes-exposes-et-un-acces-administrateur-publie/,Rattrapage 2026 Cyberattaque.org — AFPA piraté : 101 comptes exposés et un accès administrateur publié,nouveau,,,,
2026-08-06,Mvision,France,France,Santé,Fuite de données,Inconnu,Revendiqué / non corroboré,65,"Mvision, important prestataire technique audiovisuel français, fait l’objet d’une revendication de fuite de données publiée le 6 août…",https://www.cyberattaque.org/mvision-plus-de-2-100-dossiers-rh-revendiques-avec-nir-passeports-et-donnees-de-sante/,"Rattrapage 2026 Cyberattaque.org — Mvision : plus de 2 100 dossiers RH revendiqués avec NIR, passeports et données de santé",nouveau,,,,
2026-08-06,Hospices Civils de Lyon,France,France,Santé,Incident tiers,Inconnu,Signal documenté par la source,60,Les Hospices Civils de Lyon (HCL) annoncent qu’un de leurs prestataires a été victime d’une cyberattaque. L’incident pourrait…,https://www.cyberattaque.org/hospices-civils-de-lyon-cyberattaque/,Rattrapage 2026 Cyberattaque.org — Hospices Civils de Lyon : une ancienne base de professionnels en fuite,nouveau,,,,
2026-08-06,Détenteurs d’armes à nouveau dans le viseur,France,France,Inconnu,Fuite de données,Inconnu,Confirmé,100,Les détenteurs d’armes français sont une nouvelle fois exposés par une fuite de données. L’Armurerie Lavaux confirme avoir…,https://www.cyberattaque.org/detenteurs-darmes-a-nouveau-dans-le-viseur-larmurerie-lavaux-confirme-une-cyberattaque/,Rattrapage 2026 Cyberattaque.org — Détenteurs d’armes à nouveau dans le viseur : l’Armurerie Lavaux confirme une cyberattaque,nouveau,,,,
2026-08-06,Bloctel,France,France,Inconnu,Ransomware,Inconnu,Signal documenté par la source,60,"Le service public Bloctel, utilisé par les Français pour s’opposer au démarchage téléphonique, fait l’objet d’une importante revendication…",https://www.cyberattaque.org/bloctel-3-millions-de-numeros-en-fuite/,Rattrapage 2026 Cyberattaque.org — Bloctel : 3 millions de numéros en fuite à cinq jours de la fin du service,nouveau,,,,
2026-08-06,Biosynex annonce être victime d’une fuite de données professionnelles,France,Illkirch-Graffenstaden,Santé,Fuite de données,Inconnu,Confirmé,100,Biosynex confirme avoir été victime d’une cyberattaque survenue entre le 31 juillet et le 2 août 2026. Le…,https://www.cyberattaque.org/biosynex-annonce-etre-victime-dune-fuite-de-donnees-professionnelles/,Rattrapage 2026 Cyberattaque.org — Biosynex annonce être victime d’une fuite de données professionnelles,nouveau,,,,
2026-08-05,Stade Français,France,Paris et évoluant,Sport,Ransomware,Qilin,Signal documenté par la source,60,Le Stade Français Paris est visé par le groupe de ransomware Qilin. Le club parisien apparaît depuis le…,https://www.cyberattaque.org/stade-francais-cyberattaque-passeport/,Rattrapage 2026 Cyberattaque.org — Stade Français : les passeports et cartes d’identité de joueurs en fuite,nouveau,,,,
2026-08-05,Intermarché victime d’une cyberattaque,France,France,Commerce / Distribution,Intrusion,Inconnu,Confirmé,100,Intermarché confirme un incident de sécurité ayant permis un accès non autorisé à une partie de ses systèmes…,https://www.cyberattaque.org/intermarche-victime-dune-cyberattaque-les-donnees-de-clients-drive-exposees/,"Rattrapage 2026 Cyberattaque.org — Intermarché victime d’une cyberattaque : jusqu’à 1,39M clients du Drive exposés",nouveau,,,,
2026-08-03,Mairie de Rinxent,France,France,Administration / Collectivité,Autre cyber,Inconnu,Revendiqué / non corroboré,65,"La mairie de Rinxent, dans le Pas-de-Calais, est désormais affichée sur le site de fuite du groupe de…",https://www.cyberattaque.org/mairie-de-rinxent-160-go-de-donnees-revendiques-apres-une-cyberattaque/,Rattrapage 2026 Cyberattaque.org — Mairie de Rinxent : 160 Go de données revendiqués après une cyberattaque,nouveau,,,,
2026-08-03,Inserm,France,France,Santé,Fuite de données,Inconnu,Signal documenté par la source,60,Une base de données attribuée à un service lié à Inserm.fr fait l’objet d’une revendication publiée le 3…,https://www.cyberattaque.org/inserm-189-997-profils-de-professionnels-de-sante-dans-une-fuite-massive/,Rattrapage 2026 Cyberattaque.org — Inserm : 189 997 profils de professionnels de santé dans une fuite massive,nouveau,,,,
2026-08-03,Chat Coco,France,France,Finance / Assurance,Ransomware,Inconnu,Signal documenté par la source,60,Chat Coco a été entièrement compromis le 2 août 2026. La plateforme a vu son site remplacé par…,https://www.cyberattaque.org/chat-coco-14-260-comptes-et-messages-prives-exposes-sur-lheritier-du-controverse-coco-gg/,Rattrapage 2026 Cyberattaque.org — Chat Coco : 14 260 comptes et messages privés exposés sur l’héritier du controversé Coco.gg,nouveau,,,,
2026-08-02,Terveo,France,France,Numérique / Technologie,Intrusion,Inconnu,Confirmé,100,Terveo confirme avoir subi une intrusion informatique entre le 19 et le 25 juillet 2026. Une personne extérieure…,https://www.cyberattaque.org/terveo-les-donnees-clients-et-historiques-de-commandes-exposes-dans-une-cyberattaque/,Rattrapage 2026 Cyberattaque.org — Terveo : les données clients et historiques de commandes exposés dans une cyberattaque,nouveau,,,,
2026-08-02,Groupe T2MC,France,Île-de-France,Inconnu,Fuite de données,Inconnu,Signal documenté par la source,60,"Une fuite particulièrement sensible frappe le Groupe T2MC. Le 1er août 2026, un acteur utilisant le pseudonyme Alduinn…",https://www.cyberattaque.org/groupe-t2mc-82-000-cartes-didentite-et-rib-exposes-dans-une-fuite-massive/,Rattrapage 2026 Cyberattaque.org — Groupe T2MC : 82 000 cartes d’identité et RIB exposés dans une fuite massive,nouveau,,,,
2026-08-01,Xplor Resamania,France,France,Sport,Ransomware,Inconnu,Revendiqué / non corroboré,65,Xplor Resamania fait l’objet d’une importante revendication publiée le 1er août 2026. Le hacker 84City affirme diffuser une…,https://www.cyberattaque.org/xplor-resamania-527-millions-de-dossiers-dadherents-de-salles-de-sport-revendiques/,"Rattrapage 2026 Cyberattaque.org — Xplor Resamania : 5,27 millions de dossiers d’adhérents de salles de sport en fuite",nouveau,,,,
2026-08-01,CCI Nice Côte d’Azur,France,France,Inconnu,Intrusion,Inconnu,Confirmé,100,La CCI Nice Côte d’Azur confirme un incident de sécurité ayant touché sa plateforme eDRH. Le 18 juillet…,https://www.cyberattaque.org/cci-nice-cote-dazur-un-compte-administrateur-pirate-les-donnees-rh-de-candidats-exportees/,"Rattrapage 2026 Cyberattaque.org — CCI Nice Côte d’Azur : un compte administrateur piraté, les données RH de candidats exportées",nouveau,,,,
2026-07-31,Éducation nationale,France,France,Administration / Collectivité,Intrusion,Inconnu,Confirmé,100,"Le ministère de l’Éducation nationale confirme une nouvelle intrusion informatique visant, cette fois, ses propres personnels. Dans la…",https://www.cyberattaque.org/education-nationale-25-ans-de-donnees-dagents-potentiellement-exposees-apres-une-cyberattaque/,Rattrapage 2026 Cyberattaque.org — Éducation nationale : 25 ans de données d’agents potentiellement exposées après une cyberattaque,nouveau,,,,
2026-07-30,Planity,France,France,Finance / Assurance,Autre cyber,Inconnu,Confirmé,100,Planity confirme un incident de sécurité ayant exposé environ 138 000 données réelles. L’accès concernait un environnement de…,https://www.cyberattaque.org/planity-138-000-donnees-exfiltrees-dans-une-cyberattaque/,Rattrapage 2026 Cyberattaque.org — Planity : 138 000 données exfiltrées dans une cyberattaque,nouveau,,,,
2026-07-30,Lire Demain,Inconnu,Non documenté publiquement,Éducation / Formation,Fuite de données,0xSec,Signal documenté par la source,60,Lire Demain fait l’objet d’une revendication publiée le 28 juillet 2026. Le hacker 0xSec diffuse cinq fichiers présentés…,https://www.cyberattaque.org/lire-demain-4-600-commandes-decoles-creches-et-collectivites-exposees/,"Rattrapage 2026 Cyberattaque.org — Lire Demain : 4 600 commandes d’écoles, crèches et collectivités exposées",nouveau,,,,
2026-07-30,ENGIE Green,France,France,Énergie / Utilities,Intrusion,Inconnu,Revendiqué / non corroboré,65,ENGIE Green fait l’objet d’une tentative d’extorsion revendiquée le 30 juillet 2026. Le hacker xxsdead affirme avoir compromis…,https://www.cyberattaque.org/engie-green-621-019-clients-en-fuite-apres-une-intrusion-par-injection-sql/,Rattrapage 2026 Cyberattaque.org — ENGIE Green : 621 019 clients en fuite après une intrusion par injection SQL,nouveau,,,,
2026-07-30,Amis de la Police,France,France,Administration / Collectivité,Fuite de données,Cybernox,Signal documenté par la source,60,"L’Amicale Police et Patrimoine fait l’objet d’une revendication publiée le 30 juillet 2026. Le hacker Cybernox, accompagné de…",https://www.cyberattaque.org/amis-de-la-police-des-adherents-exposes-dans-une-fuite-de-donnees/,Rattrapage 2026 Cyberattaque.org — Amis de la Police : des adhérents exposés dans une fuite de données,nouveau,,,,
2026-07-30,5doigts2pieds.fr,France,France,Commerce / Distribution,Intrusion,Inconnu,Confirmé,100,La boutique en ligne 5doigts2pieds.fr confirme avoir subi une cyberattaque ayant entraîné le vol des données de ses…,https://www.cyberattaque.org/5doigts2pieds-fr-pirate-les-donnees-et-commandes-de-ses-clients-ont-ete-volees/,Rattrapage 2026 Cyberattaque.org — 5doigts2pieds.fr piraté : les données et commandes de ses clients ont été volées,nouveau,,,,
2026-07-29,Orisha Insurance,France,France,Finance / Assurance,Autre cyber,Inconnu,Confirmé,100,"Orisha Insurance a confirmé, le 24 juillet 2026, un incident de sécurité affectant sa filiale CIM. Des systèmes…",https://www.cyberattaque.org/orisha-insurance-un-incident-de-securite-frappe-cim-ses-systemes-isoles-en-urgence/,"Rattrapage 2026 Cyberattaque.org — Orisha Insurance : un incident de sécurité frappe CIM, ses systèmes isolés en urgence",nouveau,,,,
2026-07-28,Supreme Body,France,France,Inconnu,Fuite de données,Inconnu,Signal documenté par la source,60,Une base de données attribuée à Supreme Body a été diffusée gratuitement le 27 juillet 2026 par une…,https://www.cyberattaque.org/supreme-body-les-comptes-clients-diffuses-en-ligne-apres-une-cyberattaque/,Rattrapage 2026 Cyberattaque.org — Supreme Body : les comptes clients diffusés en ligne après une cyberattaque,nouveau,,,,
2026-07-28,Location-etudiant.fr,France,Marseille,Éducation / Formation,Intrusion,Inconnu,Revendiqué / non corroboré,65,Le portail Location-etudiant.fr a vu sa page d’accueil remplacée le 21 juillet 2026 par un message revendiquant la…,https://www.cyberattaque.org/location-etudiant-fr-pirate-10-go-de-donnees-en-fuite/,Rattrapage 2026 Cyberattaque.org — Location-etudiant.fr piraté : 10 Go de données en fuite,nouveau,,,,
2026-07-28,Le site de Pierrefitte-sur-Loire mis hors ligne après une cyberattaque,France,France,Administration / Collectivité,Autre cyber,Inconnu,Signal documenté par la source,60,La mairie de Pierrefitte-sur-Loire annonce que le site internet de la commune est temporairement inaccessible après une cyberattaque…,https://www.cyberattaque.org/le-site-de-pierrefitte-sur-loire-mis-hors-ligne-apres-une-cyberattaque/,Rattrapage 2026 Cyberattaque.org — Le site de Pierrefitte-sur-Loire mis hors ligne après une cyberattaque,nouveau,,,,
