date,organisation,territoire,localisation,secteur,type_menace,acteur,statut,score_cyberattaque,impact_connu,source_urls,synthese,evolution
2026-08-16,Fédération Française de Motocyclisme,France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-motocyclisme-msvj2szkiclvx2gaoc,Rattrapage 2026 depuis l’archive FrenchBreaches — Fédération Française de Motocyclisme.,nouveau
2026-08-14,Direction générale des Finances publiques (SPDC),France,France,Administration / Collectivité,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/direction-g-n-rale-des-finances-publiques-spdc-mssm0kklrsqu9rd3vd,Rattrapage 2026 depuis l’archive FrenchBreaches — Direction générale des Finances publiques (SPDC).,nouveau
2026-08-14,Chupin (BlgCloud),France,France,Numérique / Technologie,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/chupin-blgcloud-mssm9jvahrr2e2nsh7u,Rattrapage 2026 depuis l’archive FrenchBreaches — Chupin (BlgCloud).,nouveau
2026-08-13,Gédimat,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/g-dimat-msrguwrqi68yitik4s,Rattrapage 2026 depuis l’archive FrenchBreaches — Gédimat.,nouveau
2026-08-12,Publica,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/publica-mspyx0388ayctyrqby7,Rattrapage 2026 depuis l’archive FrenchBreaches — Publica.,nouveau
2026-08-12,Loutz (BlgCloud),France,France,Numérique / Technologie,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/loutz-blgcloud-msp7qzkjgh0uwodlovb,Rattrapage 2026 depuis l’archive FrenchBreaches — Loutz (BlgCloud).,nouveau
2026-08-12,Leroch Distribution (BlgCloud),France,France,Numérique / Technologie,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/leroch-distribution-blgcloud-msp7xthowhtnkmx2fk,Rattrapage 2026 depuis l’archive FrenchBreaches — Leroch Distribution (BlgCloud).,nouveau
2026-08-12,LaSante.net,France,France,Santé,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/lasante-net-mspekqmo3e0n0l1rsbe,Rattrapage 2026 depuis l’archive FrenchBreaches — LaSante.net.,nouveau
2026-08-12,Direction générale des Finances publiques (DGFiP),France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/direction-g-n-rale-des-finances-publiques-dgfip-msq5rgy4cql9o0l7cus,Rattrapage 2026 depuis l’archive FrenchBreaches — Direction générale des Finances publiques (DGFiP).,nouveau
2026-08-11,Santé publique France,France,France,Santé,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/sant-publique-france-msoz0zsj3vgi774sa0i,Rattrapage 2026 depuis l’archive FrenchBreaches — Santé publique France.,nouveau
2026-08-11,HeyPulse,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/heypulse-msogur4agznhs274b3r,Rattrapage 2026 depuis l’archive FrenchBreaches — HeyPulse.,nouveau
2026-08-11,Agence pour l’enseignement français à l’étranger (AEFE),France,France,Éducation / Formation,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/agence-pour-l-enseignement-fran-ais-l-tranger-aefe-msp6elbt3d5a63mumeq,Rattrapage 2026 depuis l’archive FrenchBreaches — Agence pour l’enseignement français à l’étranger (AEFE).,nouveau
2026-08-10,Ville de Gagny,France,France,Administration / Collectivité,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/ville-de-gagny-msmim65d87im5z51ho4,Rattrapage 2026 depuis l’archive FrenchBreaches — Ville de Gagny.,nouveau
2026-08-10,Steam,France,France,Transport / Logistique,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/steam-msndgcya2ase84mzxi6,Rattrapage 2026 depuis l’archive FrenchBreaches — Steam.,nouveau
2026-08-10,Mairie de Sixt-sur-Aff,France,France,Administration / Collectivité,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/mairie-de-sixt-sur-aff-msmii0ydaxb7f5pq82k,Rattrapage 2026 depuis l’archive FrenchBreaches — Mairie de Sixt-sur-Aff.,nouveau
2026-08-10,I-CAD,France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/i-cad-msn3ybtatwxhj8nio8n,Rattrapage 2026 depuis l’archive FrenchBreaches — I-CAD.,nouveau
2026-08-10,Groupe Cloué (BlgCloud),France,France,Numérique / Technologie,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/groupe-clou-blgcloud-msnd05otu1hyrbmzqy,Rattrapage 2026 depuis l’archive FrenchBreaches — Groupe Cloué (BlgCloud).,nouveau
2026-08-10,Fédération Française de Handball,France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-handball-msn9vcfexvsnlnk1ha,Rattrapage 2026 depuis l’archive FrenchBreaches — Fédération Française de Handball.,nouveau
2026-08-09,Le Mans FC,France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/le-mans-fc-msm10s9d7aa7x3v9wvi,Rattrapage 2026 depuis l’archive FrenchBreaches — Le Mans FC.,nouveau
2026-08-09,Duvignau 40 (BlgCloud),France,France,Numérique / Technologie,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/duvignau-40-blgcloud-msm86diuc1krxvgldsu,Rattrapage 2026 depuis l’archive FrenchBreaches — Duvignau 40 (BlgCloud).,nouveau
2026-08-09,Bureau Vallée,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/bureau-vall-e-msm7y0p26cnf5r2ewtu,Rattrapage 2026 depuis l’archive FrenchBreaches — Bureau Vallée.,nouveau
2026-08-08,Roussel Agri 62 (BlgCloud),France,France,Numérique / Technologie,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/roussel-agri-62-blgcloud-mskjsgirjuladgvz0sj,Rattrapage 2026 depuis l’archive FrenchBreaches — Roussel Agri 62 (BlgCloud).,nouveau
2026-08-08,Mutuelle Générale de Prévoyance,France,France,Finance / Assurance,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/mutuelle-g-n-rale-de-pr-voyance-msjkkufska3mdj2z8xb,Rattrapage 2026 depuis l’archive FrenchBreaches — Mutuelle Générale de Prévoyance.,nouveau
2026-08-08,"CLCV (Consommation, Logement et Cadre de Vie)",France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/clcv-consommation-logement-et-cadre-de-vie-mskk2jbes84h2ad5fra,"Rattrapage 2026 depuis l’archive FrenchBreaches — CLCV (Consommation, Logement et Cadre de Vie).",nouveau
2026-08-08,BlgCloud,France,France,Numérique / Technologie,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/blgcloud-mskjo8rlb7gngvnvb4k,Rattrapage 2026 depuis l’archive FrenchBreaches — BlgCloud.,nouveau
2026-08-07,Ressourc'brie,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/ressourc-brie-msiy6s8ktdtfnh45mbc,Rattrapage 2026 depuis l’archive FrenchBreaches — Ressourc'brie.,nouveau
2026-08-07,Le Lien Autonomie,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/le-lien-autonomie-msj4pgh7huoc9zlfspc,Rattrapage 2026 depuis l’archive FrenchBreaches — Le Lien Autonomie.,nouveau
2026-08-07,Actini Group,France,Haute-Savoie,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/actini-group-rw_ZDNkM0xtRmpkR2x1YVM1amIyMUFhM0o1WW1sMA,Rattrapage 2026 depuis l’archive FrenchBreaches — Actini Group.,nouveau
2026-08-07,AFPA,France,France,Éducation / Formation,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/afpa-msj805wnmw8zz6kstul,Rattrapage 2026 depuis l’archive FrenchBreaches — AFPA.,nouveau
2026-08-06,Stade Français Paris,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/stade-fran-ais-paris-mshxny5ez43h7cehwd8,Rattrapage 2026 depuis l’archive FrenchBreaches — Stade Français Paris.,nouveau
2026-08-06,MVision,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/mvision-msgwx7wpe04lm2vdg5t,Rattrapage 2026 depuis l’archive FrenchBreaches — MVision.,nouveau
2026-08-06,INSERM,France,France,Administration / Collectivité,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/inserm-mshn3qktwz0jhhrvfde,Rattrapage 2026 depuis l’archive FrenchBreaches — INSERM.,nouveau
2026-08-06,Hospices Civils de Lyon,France,France,Santé,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/hospices-civils-de-lyon-mshd1fdm90trgfi4n8v,Rattrapage 2026 depuis l’archive FrenchBreaches — Hospices Civils de Lyon.,nouveau
2026-08-06,Bloctel,France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/bloctel-mshxaq0ysyd27ca7f6,Rattrapage 2026 depuis l’archive FrenchBreaches — Bloctel.,nouveau
2026-08-06,Biosynex,France,France,Santé,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/biosynex-msi1a59xyyo8dd0uay9,Rattrapage 2026 depuis l’archive FrenchBreaches — Biosynex.,nouveau
2026-08-06,Association de la Caieta,France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/association-de-la-caieta-msgpkbftje9wtx6u62,Rattrapage 2026 depuis l’archive FrenchBreaches — Association de la Caieta.,nouveau
2026-08-06,Armurerie Lavaux,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/armurerie-lavaux-mseypxv2fdmjdlqaj78,Rattrapage 2026 depuis l’archive FrenchBreaches — Armurerie Lavaux.,nouveau
2026-08-05,Intermarché Drive,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/intermarch-drive-msf7vvhryw7nui45uho,Rattrapage 2026 depuis l’archive FrenchBreaches — Intermarché Drive.,nouveau
2026-08-03,Voxaly,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/voxaly-msde9mck0bpdloz5u6j7,Rattrapage 2026 depuis l’archive FrenchBreaches — Voxaly.,nouveau
2026-08-03,Intermarché Drive,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/intermarch-drive-msd3lq1z008txe7ifb90x,Rattrapage 2026 depuis l’archive FrenchBreaches — Intermarché Drive.,nouveau
2026-08-03,Institut national de la santé et de la recherche médicale (INSERM),France,France,Santé,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/institut-national-de-la-sant-et-de-la-recherche-m-dicale-inserm-msd3dlb2vc2sd7sibue,Rattrapage 2026 depuis l’archive FrenchBreaches — Institut national de la santé et de la recherche médicale (INSERM).,nouveau
2026-08-03,Chat Coco,France,France,Numérique / Technologie,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/chat-coco-mscfkkp86lht0x39su5,Rattrapage 2026 depuis l’archive FrenchBreaches — Chat Coco.,nouveau
2026-08-02,TERVEO,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/terveo-msb0jbxnwduz5ngrumi,Rattrapage 2026 depuis l’archive FrenchBreaches — TERVEO.,nouveau
2026-08-02,Questel SAS,France,France,Industrie / Manufacture,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/questel-sas-msbnp9vg1hm7pouz2gh,Rattrapage 2026 depuis l’archive FrenchBreaches — Questel SAS.,nouveau
2026-08-02,ENT (Seine et Marne),France,Iran,Éducation / Formation,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/ent-seine-et-marne-msbmzcv3k4jirk0p3,Rattrapage 2026 depuis l’archive FrenchBreaches — ENT (Seine et Marne).,nouveau
2026-08-01,Xplor Resamania,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/xplor-resamania-ms9zix0ogp9u7xkgvu5,Rattrapage 2026 depuis l’archive FrenchBreaches — Xplor Resamania.,nouveau
2026-08-01,Groupe T2MC,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/groupe-t2mc-msatleltiim1uf4u47g,Rattrapage 2026 depuis l’archive FrenchBreaches — Groupe T2MC.,nouveau
2026-08-01,Emploi Docteur Imago,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/emploi-docteur-imago-msalwlhrpzvx55d1kuf,Rattrapage 2026 depuis l’archive FrenchBreaches — Emploi Docteur Imago.,nouveau
2026-08-01,CY Cergy Paris Université,France,France,Éducation / Formation,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/cy-cergy-paris-universit-msanv9saq6mlky1jlg,Rattrapage 2026 depuis l’archive FrenchBreaches — CY Cergy Paris Université.,nouveau
2026-07-31,Ministère de l'Éducation nationale,France,France,Administration / Collectivité,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/minist-re-de-l-ducation-nationale-ms98aai3bqkzfv424c,Rattrapage 2026 depuis l’archive FrenchBreaches — Ministère de l'Éducation nationale.,nouveau
2026-07-31,Chambre de Commerce et d'Industrie Nice Côte d'Azur,France,France,Industrie / Manufacture,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/chambre-de-commerce-et-d-industrie-nice-c-te-d-azur-ms9972qijqoesdq8cu,Rattrapage 2026 depuis l’archive FrenchBreaches — Chambre de Commerce et d'Industrie Nice Côte d'Azur.,nouveau
2026-07-31,Avocats-Étrangers,France,France,Services aux entreprises,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/avocats-trangers-ms94mn1ikiw90wta54,Rattrapage 2026 depuis l’archive FrenchBreaches — Avocats-Étrangers.,nouveau
2026-07-30,ENGIE Green,France,France,Énergie / Utilities,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/engie-green-ms793t79jtz46e143go,Rattrapage 2026 depuis l’archive FrenchBreaches — ENGIE Green.,nouveau
2026-07-30,Amicale Police et Patrimoine,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/amicale-police-et-patrimoine-ms7xe2xpgow9p71fxcj,Rattrapage 2026 depuis l’archive FrenchBreaches — Amicale Police et Patrimoine.,nouveau
2026-07-30,5doigts2pieds,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/5doigts2pieds-ms7nsxtv858u04k6jvq,Rattrapage 2026 depuis l’archive FrenchBreaches — 5doigts2pieds.,nouveau
2026-07-29,Orisha Insurance (CIM),France,France,Finance / Assurance,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/orisha-insurance-cim-ms5ra3ys2j9emgrkcgc,Rattrapage 2026 depuis l’archive FrenchBreaches — Orisha Insurance (CIM).,nouveau
2026-07-29,Lire Demain,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/lire-demain-ms5pejs6d6m5q6vnf18,Rattrapage 2026 depuis l’archive FrenchBreaches — Lire Demain.,nouveau
2026-07-28,Université de Nantes,France,France,Éducation / Formation,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/universit-de-nantes-ms4klkg55ewuy1t1d2l,Rattrapage 2026 depuis l’archive FrenchBreaches — Université de Nantes.,nouveau
2026-07-28,Resaclick,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/resaclick-ms4chtqzaljdepplkxm,Rattrapage 2026 depuis l’archive FrenchBreaches — Resaclick.,nouveau
