Case_ID,Left_Item_ID,Right_Item_ID,Same_Organisation_REF,Same_Incident_REF,Evidence,Reviewed_At,Golden_Version
P012,ITM-0972b9f1cdbf38ca,ITM-ea63cfe55e4dc145,SAME,SAME,"Atol/Atol Mon Opticien : même enseigne et même fuite massive clients le même jour.",2026-08-17,DEDUP-GOLDEN-1
P013,ITM-2dc06829efb12d5a,ITM-d707eb7f81a94033,SAME,SAME,Atout France : même victime et même incident IDOR le même jour.,2026-08-17,DEDUP-GOLDEN-1
P014,ITM-cccbb065e9daf7f6,ITM-4879fc78a32b9a32,SAME,SAME,"Basic Fit/Basic-Fit : même victime et même fuite d'environ un million de clients le même jour.",2026-08-17,DEDUP-GOLDEN-1
P015,ITM-e9d1640a653adff2,ITM-10bc2de399feb216,SAME,SAME,Bazar du Manga : même victime et même fuite confirmée le même jour.,2026-08-17,DEDUP-GOLDEN-1
P016,ITM-fc5c215dc379733c,ITM-149382450d886235,SAME,SAME,Belambra : même victime et même exposition des coordonnées clients le même jour.,2026-08-17,DEDUP-GOLDEN-1
P017,ITM-6540e15e4bb1089d,ITM-76a4c07de4838701,SAME,SAME,Bija Industrie : même victime et même ransomware MedusaLocker le 16 août.,2026-08-17,DEDUP-GOLDEN-1
P018,ITM-e5d73bca2b1212d3,ITM-38f7e4f5a09b85e4,SAME,SAME,Biosynex : même victime et même fuite de données professionnelles le même jour.,2026-08-17,DEDUP-GOLDEN-1
P019,ITM-5e135e88502f97bd,ITM-f690c99943f1ca81,SAME,SAME,Bloctel : même victime et même fuite de numéros le même jour.,2026-08-17,DEDUP-GOLDEN-1
P020,ITM-0724785a877742c0,ITM-cf71d3eb1d53642b,SAME,SAME,Booking/Booking.com : même service et même fuite de données de réservation le même jour.,2026-08-17,DEDUP-GOLDEN-1
P021,ITM-33a67e9f40f8745d,ITM-9021b9aa28ea4a6a,SAME,SAME,Bureau Vallée : même victime et même fuite de fiches clients le même jour.,2026-08-17,DEDUP-GOLDEN-1
P022,ITM-26e4653c4fae2e20,ITM-2b8c9b61526969e0,SAME,SAME,Cerballiance : même victime et même exposition de données médicales le même jour.,2026-08-17,DEDUP-GOLDEN-1
P023,ITM-3fc9eba93a38dd6e,ITM-20afe79fae511313,SAME,SAME,"CCI Nice Côte d'Azur : variantes typographiques du même organisme et même fuite le 31 juillet.",2026-08-17,DEDUP-GOLDEN-1
P024,ITM-80afdf216d137be6,ITM-84758253203f8d43,SAME,SAME,Chat Coco : même victime et même fuite de comptes/messages le 3 août.,2026-08-17,DEDUP-GOLDEN-1
P025,ITM-3e008fa243b802c2,ITM-3d4bbd2296a67743,SAME,SAME,Motoculture Cravero/Cravero Motoculture : permutation du même nom et même fuite BlgCloud le 16 août.,2026-08-17,DEDUP-GOLDEN-1
P026,ITM-a43a547526ffdd3a,ITM-803dbab7e2fdcb4d,SAME,SAME,Croq' Vacances : même victime et même fuite de documents le même jour.,2026-08-17,DEDUP-GOLDEN-1
P027,ITM-ff7d3b2b47c6c4e0,ITM-5a4a266d279fda15,SAME,SAME,"CROUS : même date et même incident mesrdv-etudiant, source officielle et article de synthèse.",2026-08-17,DEDUP-GOLDEN-1
P028,ITM-1a9b3e882ac9ef7a,ITM-b3f2d99e99e17110,SAME,SAME,Diamond : même victime et même revendication Gunra le 8 avril.,2026-08-17,DEDUP-GOLDEN-1
P029,ITM-94f3a30c48dc77ad,ITM-1405c2be130d1ecd,SAME,SAME,DGFiP/SPDC : deux sources décrivent la seconde cyberattaque du 14 août.,2026-08-17,DEDUP-GOLDEN-1
P030,ITM-8c43763b416fa35b,ITM-2f0f5128964772ac,SAME,SAME,Domaine des Tournels : même victime et même revendication Qilin le 13 mai.,2026-08-17,DEDUP-GOLDEN-1
P031,ITM-057b52f6d1ab1f67,ITM-7abef61056c1dc74,SAME,SAME,Duvignau40/Duvignau 40 : même victime et même compromission BlgCloud le 9 août.,2026-08-17,DEDUP-GOLDEN-1
P032,ITM-b04e502985266164,ITM-1ee6f6cbcdcfbbb3,SAME,SAME,Éducation nationale : communication officielle et article décrivent le même incident du 31 juillet.,2026-08-17,DEDUP-GOLDEN-1
P033,ITM-b04e502985266164,ITM-77d99da3eb7846e3,SAME,SAME,Éducation nationale/Ministère : même organisme et même incident du 31 juillet.,2026-08-17,DEDUP-GOLDEN-1
P034,ITM-fe38fbba13f1277e,ITM-29ad2fef543694a2,SAME,SAME,"ENGIE Green : même victime et même fuite de 621 019 clients le 30 juillet.",2026-08-17,DEDUP-GOLDEN-1
P035,ITM-dbecc401ef077e30,ITM-476ca705ec80202b,SAME,SAME,ERDIL : même victime et même fuite le 28 juillet.,2026-08-17,DEDUP-GOLDEN-1
P036,ITM-65fc228311f0ac68,ITM-246da658d179e870,SAME,SAME,Erla Technologies/Erla Technologies SAS : même société et même revendication ransomware le 5 mai.,2026-08-17,DEDUP-GOLDEN-1
P037,ITM-9ad83ebdae6c5575,ITM-6a8c316d3b798998,SAME,SAME,Exclusive Networks : même victime et même revendication Qilin le 27 avril.,2026-08-17,DEDUP-GOLDEN-1
P038,ITM-bef54a4a3bb5c9a9,ITM-a41c3c69231506b9,SAME,SAME,FFHandball/Fédération Française de Handball : acronyme et nom complet et même fuite le 10 août.,2026-08-17,DEDUP-GOLDEN-1
P039,ITM-39b6b41eeb5dc3bb,ITM-6b6b114355b4e382,SAME,SAME,Fédération Française de Rugby : même victime et même fuite de licenciés le 4 avril.,2026-08-17,DEDUP-GOLDEN-1
P040,ITM-c36adf82e2aed6a3,ITM-12a4ed2f1cf8e7e8,SAME,SAME,Fédération Sportive de la Police Nationale : même victime et même fuite le 22 juin.,2026-08-17,DEDUP-GOLDEN-1
P041,ITM-e8a9ff7d0295734a,ITM-23c3e5e8d480aef2,SAME,SAME,Force Ouvrière : même organisation et même fuite de profils le 1er avril.,2026-08-17,DEDUP-GOLDEN-1
P042,ITM-e3cde8f1f50d0273,ITM-2ccefab3d66d64ac,SAME,SAME,France Casse/France-Casse : même nouvelle fuite de 500 comptes le 16 août.,2026-08-17,DEDUP-GOLDEN-1
P043,ITM-2c144248ae323296,ITM-aba3d0296b074c1e,SAME,SAME,France VAE : même victime et même incident de données le 13 août.,2026-08-17,DEDUP-GOLDEN-1
P044,ITM-628755b3a7846d5c,ITM-d28051fafeac1245,SAME,SAME,Gauthier Connectique : même victime et même ransomware Akira le 6 avril.,2026-08-17,DEDUP-GOLDEN-1
P045,ITM-19791620146f2ed3,ITM-0a082f20eda672d9,SAME,SAME,Gîtes de France : même victime et même fuite de réservations le 17 mai.,2026-08-17,DEDUP-GOLDEN-1
N001,ITM-a1a03ef67f01bd1d,ITM-e3cde8f1f50d0273,SAME,DIFFERENT,"France Casse : fuite du 20 juillet (3,3 M comptes) puis titre explicite « nouvelle fuite » le 16 août (500 comptes).",2026-08-17,DEDUP-GOLDEN-1
N002,ITM-0b8854d4551e6f74,ITM-d9036779f1243d29,SAME,DIFFERENT,EVA.gg : l'item du 13 août indique explicitement une nouvelle exposition après une première fuite.,2026-08-17,DEDUP-GOLDEN-1
N003,ITM-3911dd4642f35c3b,ITM-04a856475a59deb2,SAME,DIFFERENT,Armurerie Lavaux : l'attaque du 6 août est décrite comme un nouvel épisode par rapport à celle de juillet.,2026-08-17,DEDUP-GOLDEN-1
N004,ITM-0dab9fb9f26c4852,ITM-94f3a30c48dc77ad,SAME,DIFFERENT,DGFiP : incident officiel du 30 juin distinct de la « 2ème cyberattaque » revendiquée le 14 août.,2026-08-17,DEDUP-GOLDEN-1
N005,ITM-0d56a3768f074541,ITM-0dab9fb9f26c4852,SAME,DIFFERENT,DGFiP : accès FICOBA annoncé le 18 février et accès illégitime SI annoncé le 30 juin sont deux épisodes officiels distincts.,2026-08-17,DEDUP-GOLDEN-1
N006,ITM-65e543f390e5b3b5,ITM-138924ed9143382e,SAME,DIFFERENT,Son-Vidéo.com : l'item du 12 août dit explicitement « frappé une nouvelle fois » et est distinct d'avril.,2026-08-17,DEDUP-GOLDEN-1
N007,ITM-1238c9d8f08a43be,ITM-e22a77b4c057564b,SAME,DIFFERENT,EasyCash : l'item d'avril décrit explicitement une « nouvelle fuite massive » et est distinct de janvier.,2026-08-17,DEDUP-GOLDEN-1
N008,ITM-98a9777be59f5417,ITM-4de5cf91bb4e0f3b,SAME,DIFFERENT,"Carvivo : 15 M d'automobilistes le 3 juin puis « nouvelle cyberattaque » avec 3,6 M journaux le 23 juin.",2026-08-17,DEDUP-GOLDEN-1
N009,ITM-650997d490245a1e,ITM-9a6be01421b972ed,SAME,DIFFERENT,Pellenc : revendications ransomware distinctes par CoinbaseCartel puis ALP-001 à plusieurs semaines d'intervalle.,2026-08-17,DEDUP-GOLDEN-1
N010,ITM-9486678c6e4228f0,ITM-7e79e18fad39d1f3,SAME,DIFFERENT,Éducation nationale : deux communications officielles distinctes et personnels le 24 mars puis élèves le 14 avril.,2026-08-17,DEDUP-GOLDEN-1
N011,ITM-7e79e18fad39d1f3,ITM-b04e502985266164,SAME,DIFFERENT,Éducation nationale : incident élèves d'avril distinct de l'incident personnels communiqué le 31 juillet.,2026-08-17,DEDUP-GOLDEN-1
N012,ITM-2e89c7628bc6e11b,ITM-073165dc67597152,SAME,DIFFERENT,Ministère des Sports : fuite d'éducateurs du 2 mai distincte de la fuite Compte Asso du 26 juin.,2026-08-17,DEDUP-GOLDEN-1
N013,ITM-e68c5e2e375b8a4e,ITM-4bfa09a25398f690,SAME,DIFFERENT,I-CAD : communication officielle de mars et nouvelle faille du 10 août sont deux épisodes distincts.,2026-08-17,DEDUP-GOLDEN-1
N014,ITM-6f803c07a32519a9,ITM-6e76853753006061,SAME,DIFFERENT,INSERM : deux alertes natives FrenchBreaches distinctes à trois jours d'intervalle ; le contrat source les traite comme événements distincts.,2026-08-17,DEDUP-GOLDEN-1
N015,ITM-aeeae44604b6bc0b,ITM-6c7f2c9c13a2413c,SAME,DIFFERENT,"Ministère de la Transition écologique : deux Source_Item_ID Cyberattaque.org distincts décrivent deux jeux compromis différents (entreprises transport vs comptes agents).",2026-08-17,DEDUP-GOLDEN-1
E001,ITM-ce24145b3039bbc0,ITM-f6f916078e291e8d,DIFFERENT,DIFFERENT,Contrôle négatif : KFC et Steam sont deux organisations sans relation d'identité.,2026-08-17,DEDUP-GOLDEN-1
E002,ITM-f10fab241bce001a,ITM-9250cae26eee3bff,DIFFERENT,DIFFERENT,Contrôle négatif : AFPA et Agence nationale des fréquences sont deux organismes distincts.,2026-08-17,DEDUP-GOLDEN-1
E003,ITM-94f3a30c48dc77ad,ITM-b04e502985266164,DIFFERENT,DIFFERENT,Contrôle négatif : DGFiP et Éducation nationale sont deux administrations distinctes.,2026-08-17,DEDUP-GOLDEN-1
E004,ITM-0724785a877742c0,ITM-cccbb065e9daf7f6,DIFFERENT,DIFFERENT,Contrôle négatif : Booking et Basic Fit sont deux entreprises distinctes.,2026-08-17,DEDUP-GOLDEN-1
E005,ITM-20ebf0b4645653ac,ITM-19791620146f2ed3,DIFFERENT,DIFFERENT,Contrôle négatif : Air Austral et Gîtes de France sont deux organisations distinctes.,2026-08-17,DEDUP-GOLDEN-1
M001,ITM-d9c18e353c35018d,ITM-b5fdd2d18d6b6f52,SAME,SAME,"France Titre / ANTS : même service public et même fuite de profils, corroborée à un jour d'écart par BonjourLaFuite et Cyberattaque.org.",2026-08-20,DEDUP-GOLDEN-1
M002,ITM-32a5248d6e3be01d,ITM-5384bb2edc1e590e,SAME,SAME,"Le Bon Matériel/Lebonmateriel.fr : même victime, même campagne BlgCloud et même publication du 15 août.",2026-08-20,DEDUP-GOLDEN-1
M003,ITM-b7099e3a9061d109,ITM-4e60695bf0907969,SAME,SAME,Mingat Location/Mingat : même victime et même ransomware Akira à deux jours d'écart.,2026-08-20,DEDUP-GOLDEN-1
M004,ITM-911173befeb9b292,ITM-f7bbc189c200750d,SAME,SAME,FILAIR : même victime et même campagne ransomware Lamashtu ; publication détaillée quatre jours après la revendication.,2026-08-17,DEDUP-GOLDEN-1
M005,ITM-e5bb83f8a2e5c10e,ITM-51d1441b43e29f73,SAME,SAME,Gauthier Tissus : même victime et même campagne ransomware Lamashtu ; publication détaillée quatre jours après la revendication.,2026-08-17,DEDUP-GOLDEN-1
