Run_ID,As_Of,Item_ID,Source_ID,Organisation_Key,Organisation,Previous_Sector,Resolved_Sector,Status,Reason,Confidence,Evidence,Evidence_URL,Policy_Version
,,ITM-9c16af75e968a0f8,FRENCHBREACHES,chambre de metiers et de l artisanat d occitanie,Chambre de Métiers et de l’Artisanat d’Occitanie,Inconnu,Administration / Collectivité,referenced,REFERENCE_EXACT,0.90,"Chambre consulaire, établissement public ; priorité à la mission institutionnelle (audit 2026-09-05).",https://lannuaire.service-public.gouv.fr/occitanie/haute-garonne/d8b3d986-d96a-4f1d-9ea8-1eba9e6aeea7,2026-09-05.sector.2
,,ITM-5be9f3b0cc9efd93,CYBERATTAQUE_ORG,charbonneaux brabant,Charbonneaux-Brabant,Inconnu,Industrie / Manufacture,inferred,ACTIVITY_RULE,0.80,"Charbonneaux-Brabant, entreprise française spécialisée dans la chimie, le conditionnement et la distribution de matières premières",https://www.cyberattaque.org/charbonneaux-brabant-2-863-profils-professionnels-exposes-dans-une-fuite-de-donnees/,2026-09-05.sector.2
,,ITM-9be0e51d6fc67e1c,FRENCHBREACHES,charbonneaux brabant,Charbonneaux-Brabant,Inconnu,Inconnu,unknown,NO_ACTIVITY_EVIDENCE,0.00,,,2026-09-05.sector.2
,,ITM-0849bd689cb5eb4f,FRENCHBREACHES,clinique de vontes,Clinique de Vontes,Santé,Santé,inferred,ORGANISATION_NAME_RULE,0.80,Clinique de Vontes,https://frenchbreaches.com/alertes/clinique-de-vontes-mtm6ww9opvv422tgg4,2026-09-05.sector.2
,,ITM-b37ec6399417fe07,CYBERATTAQUE_ORG,clinique de vontes,Clinique de Vontes,Santé,Santé,inferred,ORGANISATION_NAME_RULE,0.80,Clinique de Vontes,https://www.cyberattaque.org/cyberattaque-clinique-de-vontes/,2026-09-05.sector.2
,,ITM-1a7a19bfd19ae7f2,CYBERATTAQUE_ORG,cma occitanie,CMA Occitanie,Inconnu,Administration / Collectivité,referenced,REFERENCE_EXACT,0.90,"Chambre consulaire, établissement public ; priorité à la mission institutionnelle (audit 2026-09-05).",https://lannuaire.service-public.gouv.fr/occitanie/haute-garonne/d8b3d986-d96a-4f1d-9ea8-1eba9e6aeea7,2026-09-05.sector.2
,,ITM-ba3837c2af95dd26,CYBERATTAQUE_ORG,colisexpat,ColisExpat,Inconnu,Transport / Logistique,inferred,ACTIVITY_RULE,0.80,ColisExpat permet notamment aux internautes de disposer d’une adresse de livraison intermédiaire avant de faire réexpédier leurs achats vers leur destination finale.,https://www.cyberattaque.org/colisexpat-une-cyberattaque-expose-les-pieces-didentite-et-donnees-de-compte/,2026-09-05.sector.2
,,ITM-e67866257a323b8b,FRENCHBREACHES,colisexpat,ColisExpat,Inconnu,Inconnu,unknown,NO_ACTIVITY_EVIDENCE,0.00,,,2026-09-05.sector.2
,,ITM-71ecea132bd4a42c,FRENCHBREACHES,college saint michel,Collège Saint-Michel,Éducation / Formation,Éducation / Formation,inferred,ORGANISATION_NAME_RULE,0.80,Collège Saint-Michel,https://frenchbreaches.com/alertes/coll-ge-saint-michel-mtm6uc3fmrq1uwb2e,2026-09-05.sector.2
,,ITM-73fbb34e125a5084,CYBERATTAQUE_ORG,courir,Courir,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,Enseigne française de vente de sneakers en ligne et en magasin,https://www.courir.com/fr/qui-sommes-nous/,2026-09-05.sector.2
,,ITM-74e3745e686a64b5,FRENCHBREACHES,courir,Courir,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,Enseigne française de vente de sneakers en ligne et en magasin,https://www.courir.com/fr/qui-sommes-nous/,2026-09-05.sector.2
,,ITM-5b67e9e70df54ce7,FRENCHBREACHES,delicity,Delicity,Inconnu,Numérique / Technologie,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Plateforme et applications de commande et réservation pour les restaurateurs ; fournit des outils numériques, sans être un restaurant.",https://pro.delicity.com/,2026-09-05.sector.2
,,ITM-87d241b7fe2c7429,CYBERATTAQUE_ORG,delicity,Delicity,Inconnu,Numérique / Technologie,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Plateforme et applications de commande et réservation pour les restaurateurs ; fournit des outils numériques, sans être un restaurant.",https://pro.delicity.com/,2026-09-05.sector.2
,,ITM-0c5790b0a532025c,CYBERATTAQUE_ORG,dropbox,Dropbox,Inconnu,Numérique / Technologie,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Services logiciels de stockage, partage et collaboration sur les fichiers.",https://www.dropbox.com/about,2026-09-05.sector.2
,,ITM-c4c6d095612ff2f2,CYBERATTAQUE_ORG,easypara,Easypara,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,Enseigne française de parapharmacie en ligne,https://www.easypara.fr/,2026-09-05.sector.2
,,ITM-fdbdd6afa926ce98,FRENCHBREACHES,easypara,Easypara,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,Enseigne française de parapharmacie en ligne,https://www.easypara.fr/,2026-09-05.sector.2
,,ITM-0867a5b8ab130b38,CYBERATTAQUE_ORG,fftir,FFTir,Inconnu,Sport,referenced,REFERENCE_EXACT,0.90,Fédération française organisant les disciplines de tir sportif,https://www.fftir.org/,2026-09-05.sector.2
,,ITM-47853f7a53762222,FRENCHBREACHES,fnim,FNIM,Inconnu,Association / Syndicat,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Fédération représentant et accompagnant les mutuelles indépendantes ; sa mission est fédérative, distincte de l'assurance exercée par ses adhérents.",https://fnim.fr/,2026-09-05.sector.2
,,ITM-68e84c61b64115aa,CYBERATTAQUE_ORG,fnim,FNIM,Inconnu,Association / Syndicat,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Fédération représentant et accompagnant les mutuelles indépendantes ; sa mission est fédérative, distincte de l'assurance exercée par ses adhérents.",https://fnim.fr/,2026-09-05.sector.2
,,ITM-041e36c542f6c37f,BONJOURLAFUITE,freres toque,Frères Toque,Inconnu,Hébergement / Tourisme / Restauration,referenced,REFERENCE_EXACT,0.90,Plateforme locale de commande et livraison de repas de restaurants,https://apps.apple.com/fr/app/fr%C3%A8res-toque/id1429969498,2026-09-05.sector.2
,,ITM-776a3c8116ba0604,FRENCHBREACHES,freres toque,Frères Toque,Inconnu,Hébergement / Tourisme / Restauration,referenced,REFERENCE_EXACT,0.90,Plateforme locale de commande et livraison de repas de restaurants,https://apps.apple.com/fr/app/fr%C3%A8res-toque/id1429969498,2026-09-05.sector.2
,,ITM-ec6ad7ad1bc83e4d,CYBERATTAQUE_ORG,freres toque,Frères Toque,Inconnu,Hébergement / Tourisme / Restauration,referenced,REFERENCE_EXACT,0.90,Plateforme locale de commande et livraison de repas de restaurants,https://apps.apple.com/fr/app/fr%C3%A8res-toque/id1429969498,2026-09-05.sector.2
,,ITM-48e2bee9b75f6d4b,CYBERATTAQUE_ORG,geofoncier,Géofoncier,Inconnu,Inconnu,unknown,NO_ACTIVITY_EVIDENCE,0.00,,,2026-09-05.sector.2
,,ITM-ab8836dc2f58e58e,FRENCHBREACHES,geofoncier,Géofoncier,Inconnu,Numérique / Technologie,inferred,SEMANTIC_ACTIVITY_MATCH,0.80,"Géofoncier.fr, une plateforme française spécialisée dans l’information foncière et les données des géomètres-experts",https://frenchbreaches.com/alertes/g-ofoncier-mtj8t6co0pczd1uq3z1h,2026-09-05.sector.2
,,ITM-03fb3005e50cb68f,CYBERATTAQUE_ORG,herbiolys,Herbiolys,Inconnu,Industrie / Manufacture,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Fabrication de préparations et produits à base de plantes ; activité de transformation, distincte de la seule revente ou de la culture agricole.",https://www.herbiolys.fr/fr/,2026-09-05.sector.2
,,ITM-408c12a81073fa4d,FRENCHBREACHES,herbiolys,Herbiolys,Inconnu,Industrie / Manufacture,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Fabrication de préparations et produits à base de plantes ; activité de transformation, distincte de la seule revente ou de la culture agricole.",https://www.herbiolys.fr/fr/,2026-09-05.sector.2
,,ITM-3ea1b0fde3ccb797,CYBERATTAQUE_ORG,la boutique du volet,La Boutique du Volet,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Vente en ligne de pièces détachées pour volets roulants et stores ; distributeur, distinct d'une entreprise de construction.",https://www.laboutiqueduvolet.com/,2026-09-05.sector.2
,,ITM-dc819e8df8308283,FRENCHBREACHES,la boutique du volet,La Boutique du Volet,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Vente en ligne de pièces détachées pour volets roulants et stores ; distributeur, distinct d'une entreprise de construction.",https://www.laboutiqueduvolet.com/,2026-09-05.sector.2
,,ITM-853bff3331f5dba9,CYBERATTAQUE_ORG,la financiere d orion,La financière d’Orion,Inconnu,Finance / Assurance,referenced,REFERENCE_EXACT,0.90,Plateforme nationale de produits et services dédiée aux conseillers en gestion de patrimoine,https://www.lafinancieredorion.fr/,2026-09-05.sector.2
,,ITM-ecf737579abef294,RANSOMWARE_LIVE,la maison des travaux,La Maison Des Travaux,Commerce / Distribution,Commerce / Distribution,reported,SOURCE_SECTOR_RAW,0.95,Retail & E-Commerce,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=fcb05123-2685-418f-8dd5-4c29a26ce6cb,2026-09-05.sector.2
,,ITM-6e2c2cd9e5c3ed70,FRENCHBREACHES,la ville de tarnos,La Ville de Tarnos,Administration / Collectivité,Administration / Collectivité,inferred,ORGANISATION_NAME_RULE,0.80,La Ville de Tarnos,https://frenchbreaches.com/alertes/la-ville-de-tarnos-mtf0splyuy8ncg1qzd,2026-09-05.sector.2
,,ITM-e91886c964872bf8,BONJOURLAFUITE,lcommerce,LCommerce,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,Entreprise exploitant une plateforme de vente en ligne sous enseigne E.Leclerc,https://annuaire-entreprises.data.gouv.fr/entreprise/882736077,2026-09-05.sector.2
,,ITM-37b09b9c01f3697d,FRENCHBREACHES,le bon siege,LebonSiege,Inconnu,Inconnu,unknown,ACTIVITY_EVIDENCE_REJECTED,0.00,LebonSiege.fr,,2026-09-05.sector.2
,,ITM-ad6e9de3e09cb125,CYBERATTAQUE_ORG,le bon siege,Le Bon Siège,Inconnu,Commerce / Distribution,inferred,ACTIVITY_RULE,0.80,"""Le Bon Siège, un site français de vente en ligne""",https://www.cyberattaque.org/lebonsiege-pres-de-1-000-clients-exposes-avec-adresses-et-telephones/,2026-09-05.sector.2
,,ITM-050f3ab72fc2e7e3,CYBERATTAQUE_ORG,lingor,Lingor,Inconnu,Finance / Assurance,referenced,REFERENCE_EXACT,0.90,Conseil et investissement en métaux précieux,https://www.lingor.fr/la-societe-lingor/,2026-09-05.sector.2
,,ITM-ed7e34492c1a1059,FRENCHBREACHES,lingor,Lingor,Inconnu,Finance / Assurance,referenced,REFERENCE_EXACT,0.90,Conseil et investissement en métaux précieux,https://www.lingor.fr/la-societe-lingor/,2026-09-05.sector.2
,,ITM-3a41569a8967db5a,FRENCHBREACHES,livetrail,LiveTrail,Inconnu,Numérique / Technologie,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Applications et solutions de suivi GPS, chronométrage et statistiques des courses ; fournisseur numérique, distinct des organisateurs sportifs utilisateurs.",https://web.livetrail.net/en,2026-09-05.sector.2
,,ITM-7cc16874b28f6592,CYBERATTAQUE_ORG,livetrail,LiveTrail,Inconnu,Numérique / Technologie,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Applications et solutions de suivi GPS, chronométrage et statistiques des courses ; fournisseur numérique, distinct des organisateurs sportifs utilisateurs.",https://web.livetrail.net/en,2026-09-05.sector.2
,,ITM-014806ad25b64a9f,FRENCHBREACHES,marie blachere,Marie Blachère,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,Réseau de boulangeries et magasins alimentaires,https://www.marieblachere.com/lentreprise/,2026-09-05.sector.2
,,ITM-bcdc630a43bb7e0a,CYBERATTAQUE_ORG,marie blachere,Marie Blachère,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,Réseau de boulangeries et magasins alimentaires,https://www.marieblachere.com/lentreprise/,2026-09-05.sector.2
,,ITM-2eed670173f2bfd2,CYBERATTAQUE_ORG,micromania,Micromania,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Réseau de magasins et vente de jeux vidéo, consoles et produits dérivés.",https://corporate.micromania.fr/projet.html,2026-09-05.sector.2
,,ITM-cdce24fe660aba3c,FRENCHBREACHES,micromania,Micromania,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Réseau de magasins et vente de jeux vidéo, consoles et produits dérivés.",https://corporate.micromania.fr/projet.html,2026-09-05.sector.2
,,ITM-1219cba905b728f5,FRENCHBREACHES,minea,Minea,Numérique / Technologie,Numérique / Technologie,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Outil numérique d'analyse des publicités, boutiques et tendances pour les commerçants ; ne pas attribuer à l'éditeur le commerce de ses clients.",https://www.minea.com/fr/,2026-09-05.sector.2
,,ITM-2dabd2e0f9227fb6,CYBERATTAQUE_ORG,minea,Minea,Numérique / Technologie,Numérique / Technologie,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Outil numérique d'analyse des publicités, boutiques et tendances pour les commerçants ; ne pas attribuer à l'éditeur le commerce de ses clients.",https://www.minea.com/fr/,2026-09-05.sector.2
,,ITM-3d1f4557ead62cd8,FRENCHBREACHES,ministere de la transition ecologique,Ministère de la Transition écologique,Administration / Collectivité,Administration / Collectivité,inferred,ORGANISATION_NAME_RULE,0.80,Ministère de la Transition écologique,https://frenchbreaches.com/alertes/minist-re-de-la-transition-cologique-mtk4bzvizh7z1fmgm7,2026-09-05.sector.2
,,ITM-b1fecc30a0a3fc09,CYBERATTAQUE_ORG,preference formations,Préférence Formations,Inconnu,Éducation / Formation,inferred,ACTIVITY_RULE,0.80,"Préférence Formations, organisme français spécialisé dans la formation professionnelle",https://www.cyberattaque.org/preference-formations-les-donnees-de-plus-de-5-200-personnes-diffusees-apres-une-cyberattaque/,2026-09-05.sector.2
,,ITM-cb101b53adea60f5,FRENCHBREACHES,preference formations,Préférence Formations,Inconnu,Éducation / Formation,inferred,ACTIVITY_RULE,0.80,"Préférence Formations, plateforme française dédiée à la formation professionnelle",https://frenchbreaches.com/alertes/pr-f-rence-formations-mtm701xaas25ttqxse,2026-09-05.sector.2
,,ITM-dbaa1b5710c8ec69,CYBERATTAQUE_ORG,qare,Qare,Inconnu,Santé,referenced,REFERENCE_EXACT,0.90,Société de téléconsultation médicale agréée,https://consultation.qare.fr/rdv-medecin-app/,2026-09-05.sector.2
,,ITM-64af20d611a38d0d,FRENCHBREACHES,reso,Reso,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,Négoce spécialisé de produits du second œuvre ; classement par activité économique principale (audit 2026-09-05).,https://www.reso.fr/qui-sommes-nous/,2026-09-05.sector.2
,,ITM-bce6453cf2314d49,CYBERATTAQUE_ORG,reso,Réso,Inconnu,Commerce / Distribution,referenced,REFERENCE_EXACT,0.90,Négoce spécialisé de produits du second œuvre ; classement par activité économique principale (audit 2026-09-05).,https://www.reso.fr/qui-sommes-nous/,2026-09-05.sector.2
,,ITM-75d5a18e7852e12d,FRENCHBREACHES,sdis de l essonne,SDIS de l’Essonne,Administration / Collectivité,Administration / Collectivité,reported,LEGACY_KNOWN_SECTOR,0.50,Administration / Collectivité,https://frenchbreaches.com/alertes/sdis-de-l-essonne-mtezzdc6zwkkibexpe8,2026-09-05.sector.2
,,ITM-ac58cd9639615c55,FRENCHBREACHES,sdis de la moselle,SDIS de la Moselle,Administration / Collectivité,Administration / Collectivité,reported,LEGACY_KNOWN_SECTOR,0.50,Administration / Collectivité,https://frenchbreaches.com/alertes/sdis-de-la-moselle-mtezsxcrwb76ft4xd69,2026-09-05.sector.2
,,ITM-129989f0c862b9cd,FRENCHBREACHES,sdis de la somme,SDIS de la Somme,Administration / Collectivité,Administration / Collectivité,reported,LEGACY_KNOWN_SECTOR,0.50,Administration / Collectivité,https://frenchbreaches.com/alertes/sdis-de-la-somme-mtezxlwpehjyx3v67q7,2026-09-05.sector.2
,,ITM-7660a36ebd2eaa57,FRENCHBREACHES,sdis des bouches du rhone,SDIS des Bouches-du-Rhône,Administration / Collectivité,Administration / Collectivité,reported,LEGACY_KNOWN_SECTOR,0.50,Administration / Collectivité,https://frenchbreaches.com/alertes/sdis-des-bouches-du-rh-ne-mtez1nua8138brrfb7i,2026-09-05.sector.2
,,ITM-7a51bf1a54f771d3,FRENCHBREACHES,sdis des vosges,SDIS des Vosges,Administration / Collectivité,Administration / Collectivité,reported,LEGACY_KNOWN_SECTOR,0.50,Administration / Collectivité,https://frenchbreaches.com/alertes/sdis-des-vosges-mtezvi2a2rg01mrtvrp,2026-09-05.sector.2
,,ITM-d776be6f7bde12f9,FRENCHBREACHES,sdis du bas rhin,SDIS du Bas-Rhin,Administration / Collectivité,Administration / Collectivité,reported,LEGACY_KNOWN_SECTOR,0.50,Administration / Collectivité,https://frenchbreaches.com/alertes/sdis-du-bas-rhin-mtezqd7tc7tk1exr3is,2026-09-05.sector.2
,,ITM-608546810aba3569,FRENCHBREACHES,sdis du gard,SDIS du Gard,Administration / Collectivité,Administration / Collectivité,reported,LEGACY_KNOWN_SECTOR,0.50,Administration / Collectivité,https://frenchbreaches.com/alertes/sdis-du-gard-mteyy43opeesk6j4mr,2026-09-05.sector.2
,,ITM-0889c66115507f6c,FRENCHBREACHES,shipup,Shipup,Inconnu,Numérique / Technologie,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Plateforme logicielle de suivi des commandes, retours et incidents de livraison ; distincte du transport physique des colis.",https://www.shipup.co/en,2026-09-05.sector.2
,,ITM-ec7dface31b72e5c,CYBERATTAQUE_ORG,shipup,Shipup,Inconnu,Numérique / Technologie,referenced,REFERENCE_EXACT,0.90,"Audit 2026-09-05 : Plateforme logicielle de suivi des commandes, retours et incidents de livraison ; distincte du transport physique des colis.",https://www.shipup.co/en,2026-09-05.sector.2
,,ITM-9efba1fc59a55884,CYBERATTAQUE_ORG,stade montois omnisports,Stade Montois Omnisports,Inconnu,Sport,referenced,REFERENCE_EXACT,0.90,Audit 2026-09-05 : Club omnisports proposant plusieurs disciplines et sections ; classement par activité sportive.,https://stade-montois.fr/,2026-09-05.sector.2
,,ITM-2d8408666ad4a2ab,CYBERATTAQUE_ORG,tarnos,Tarnos,Administration / Collectivité,Administration / Collectivité,reported,LEGACY_KNOWN_SECTOR,0.50,Administration / Collectivité,https://www.cyberattaque.org/mairie-tarnos-rancon-cyberattaque/,2026-09-05.sector.2
,,ITM-9d9815a5f2d59dfb,FRENCHBREACHES,timetonic,Timetonic,Inconnu,Numérique / Technologie,referenced,REFERENCE_EXACT,0.90,Audit 2026-09-05 : Éditeur d'une plateforme cloud NoCode pour construire des applications de gestion collaborative.,https://fr.home.timetonic.com/,2026-09-05.sector.2
,,ITM-38afbfb13ebade24,FRENCHBREACHES,tisseo,Tisséo,Inconnu,Transport / Logistique,inferred,ACTIVITY_RULE,0.80,"Tisséo, le réseau de transports en commun de Toulouse",https://frenchbreaches.com/alertes/tiss-o-mtktrusw2xxeaxkehp8,2026-09-05.sector.2
,,ITM-c8cdccbe86f725ef,CYBERATTAQUE_ORG,tisseo,Tisséo,Inconnu,Transport / Logistique,inferred,ACTIVITY_RULE,0.80,"Tisséo, le réseau de transports en commun de l’agglomération toulousaine",https://www.cyberattaque.org/cyberattaque-tisseo-toulouse/,2026-09-05.sector.2
,,ITM-389a991087b537a5,FRENCHBREACHES,ultra premium direct,Ultra Premium Direct,Agriculture / Agroalimentaire,Agriculture / Agroalimentaire,inferred,ACTIVITY_RULE,0.80,"Ultra Premium Direct, spécialiste français de l’alimentation pour chiens et chats,",https://frenchbreaches.com/alertes/ultra-premium-direct-mtckovbzd1f2t3n126h,2026-09-05.sector.2
,,ITM-548df1d58425f71a,CYBERATTAQUE_ORG,ultra premium direct,Ultra Premium Direct,Agriculture / Agroalimentaire,Agriculture / Agroalimentaire,inferred,ACTIVITY_RULE,0.80,"Ultra Premium Direct, spécialiste de l’alimentation animale.",https://www.cyberattaque.org/ultra-premium-direct-les-donnees-clients-extraites-apres-le-piratage-dun-prestataire/,2026-09-05.sector.2
,,ITM-3634a3939669099f,CYBERATTAQUE_ORG,ville de libercourt,Ville de Libercourt,Administration / Collectivité,Administration / Collectivité,inferred,ORGANISATION_NAME_RULE,0.80,Ville de Libercourt,https://www.cyberattaque.org/ville-de-libercourt-817-go-de-donnees-revendiquesapres-une-cyberattaque/,2026-09-05.sector.2
,,ITM-67466aa3ed46e2ee,RANSOMWARE_LIVE,ville de libercourt,Ville de Libercourt,Administration / Collectivité,Administration / Collectivité,inferred,ORGANISATION_NAME_RULE,0.80,Ville de Libercourt,,2026-09-05.sector.2
,,ITM-a51172ec15657a8a,FRENCHBREACHES,zero logement vacant,Zéro Logement Vacant,Inconnu,Administration / Collectivité,referenced,REFERENCE_EXACT,0.90,Service public numérique destiné aux collectivités et services de l’État,https://zerologementvacant.beta.gouv.fr/zero-logement-vacant/la-plateforme/,2026-09-05.sector.2
,,ITM-ac5aea25b29b9175,CYBERATTAQUE_ORG,zero logement vacant,Zéro Logement Vacant,Inconnu,Administration / Collectivité,referenced,REFERENCE_EXACT,0.90,Service public numérique destiné aux collectivités et services de l’État,https://zerologementvacant.beta.gouv.fr/zero-logement-vacant/la-plateforme/,2026-09-05.sector.2
,,ITM-0f0716ce4755d459,CYBERATTAQUE_ORG,zerogaspi,ZeroGaspi,Inconnu,Commerce / Distribution,inferred,ACTIVITY_RULE,0.80,ZeroGaspi commercialise en ligne des produits destinés notamment à réduire le gaspillage et les déchets.,https://www.cyberattaque.org/zerogaspi-une-base-de-80-000-clients-en-vente-apres-une-cyberattaque/,2026-09-05.sector.2
,,ITM-4db2ae12f71a1693,FRENCHBREACHES,zerogaspi,ZeroGaspi,Inconnu,Inconnu,unknown,NO_ACTIVITY_EVIDENCE,0.00,,,2026-09-05.sector.2
